股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00662,富邦NASDAQ,115.11.05,115.11.10,ETF分割,0,"20,564,000","1,000","25,312,000","1,000","25,312,000","1,000","25,312,000","1,000","25,519,000"
00710B,復華彭博非投等債,115.09.11,115.09.16,分配收益,0,"451,000",0,"451,000",0,"451,000",0,"451,000",0,"451,000"
00711B,復華彭博新興債,115.09.11,115.09.16,分配收益,0,"99,000",0,"99,000",0,"99,000",0,"99,000",0,"99,000"
00712,復華富時不動產,115.09.11,115.09.16,分配收益,0,"86,605,000",0,"84,780,000",0,"84,644,000",0,"54,987,000",0,"54,987,000"
00713,元大台灣高息低波,115.09.15,115.09.18,分配收益,0,"6,333,000",0,"6,333,000",0,"6,833,000",0,"6,833,000",0,"6,833,000"
00728,第一金工業30,115.09.14,115.09.17,分配收益,0,"219,000",0,"219,000",0,"219,000",0,"219,000",0,"219,000"
00918,大華優利高填息30,115.09.14,115.09.17,分配收益,0,"53,331,000",0,"50,198,000","2,000","47,489,000","5,000","36,683,000","29,000","32,406,000"
00929,復華台灣科技優息,115.09.11,115.09.16,分配收益,0,"69,053,000",0,"67,858,000",0,"65,309,000","1,000","58,259,000","1,000","56,681,000"
00930,永豐ESG低碳高息,115.09.17,115.09.22,分配收益,0,"1,285,000",0,"1,285,000",0,"1,282,000",0,"1,279,000",0,"1,276,000"
00994A,主動第一金台股優,115.09.14,115.09.17,分配收益,0,"2,277,000","1,000","2,277,000","1,000","2,277,000","1,000","2,277,000","1,000","2,277,000"
1225,福懋油,115.09.23,115.09.30,股東常會,"1,000",0,"1,000",0,"1,000",0,"1,000",0,0,0
1235,興泰,115.09.18,115.09.23,除權息,0,"35,690",0,"35,690",0,"35,690",0,"35,690",0,"35,690"
1442,名軒,115.09.17,115.09.22,除息,"1,000","3,660,000","1,000","3,722,000","1,000","3,710,000","1,000","3,703,000","1,000","3,820,000"
1808,潤隆,115.09.17,115.09.22,除息,"1,000","15,738,000","2,000","15,517,000","2,000","14,947,000","2,000","14,338,000","3,000","13,729,000"
2109,華豐,115.09.21,115.09.24,除息,0,"555,000",0,"555,000",0,"555,000",0,"555,000",0,"555,000"
2323,中環,115.09.23,115.09.30,除息,"11,000","1,184,000","11,000","5,570,000","12,000","5,570,000","14,000","5,570,000","14,000","5,585,000"
2323,中環,115.09.23,115.09.30,減資,"11,000","1,184,000","11,000","5,570,000","12,000","5,570,000","14,000","5,570,000","14,000","5,585,000"
2542,興富發,115.09.17,115.09.22,除息,"9,000","111,988,466","10,000","110,001,466","10,000","109,488,466","9,000","108,801,466","10,000","107,389,466"
2601,益航,115.09.17,,減資,0,0,0,0,0,0,0,0,0,0
2614,東森,115.09.30,115.10.05,除權息,0,"2,556,010",0,"2,532,010",0,"2,516,010",0,"2,501,010",0,"2,493,010"
2614,東森,115.09.30,115.10.05,現金增資,0,"2,556,010",0,"2,532,010",0,"2,516,010",0,"2,501,010",0,"2,493,010"
2890,永豐金,115.10.01,115.10.06,現金增資,"83,000","52,402,805","80,000","52,379,805","79,000","52,551,805","75,000","52,014,805","75,000","51,440,805"
4552,力達-KY,115.10.21,115.10.27,除息,"12,000","420,000","12,000","457,000","12,000","452,000","12,000","557,000","12,000","557,000"
5258,虹堡,115.09.17,115.09.22,除息,"15,000","4,010,360","15,000","4,021,360","16,000","4,001,360",0,"3,889,360","3,000","3,883,360"
5306,桂盟,115.09.11,115.09.16,除息,0,"830,000",0,"829,000",0,"824,000",0,"786,000",0,"785,000"
6108,競國,115.10.01,115.10.06,除息,"16,000","494,000","16,000","494,000","20,000","495,000","16,000","555,000","16,000","572,000"
7631,聚賢研發-創,115.09.21,115.09.24,除息,0,"1,000",0,"1,000",0,"1,000",0,"1,000",0,"1,000"
9927,泰銘,115.09.23,115.09.30,除息,0,"374,000",0,"384,000",0,"390,000",0,"391,000",0,"387,000"
