股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00939,統一台灣高息動能,115.04.27,115.04.30,分配收益,0,"9,000,000",0,"6,769,000",0,"4,263,000",0,"4,276,000",0,"4,267,000"
00940,元大台灣價值高息,115.04.30,115.05.06,分配收益,"40,000","50,043,000","90,000","49,951,000","92,000","39,931,000","97,000","39,931,000","95,000","44,272,000"
00946,群益科技高息成長,115.04.29,115.05.05,分配收益,0,"1,812,000",0,"1,803,000",0,"1,803,000",0,"1,803,000",0,"1,803,000"
00953B,群益優選非投等債,115.04.29,115.05.05,分配收益,0,"84,078,000",0,"84,082,000",0,"87,964,000",0,"87,971,000",0,"88,041,000"
00984D,主動聯博全球非投,115.04.27,115.04.30,分配收益,0,"4,423,000",0,"4,223,000",0,"3,882,000",0,"3,782,000",0,"2,763,000"
00985B,群益ESG投等債0-5,115.04.29,115.05.05,分配收益,0,"6,224,000",0,"6,224,000",0,"6,224,000",0,"6,224,000",0,"6,224,000"
1108,幸福,115.04.23,115.04.28,股東常會,0,"459,000",0,"451,000",0,"451,000",0,"450,000",0,"450,000"
1235,興泰,115.04.23,115.04.28,股東常會,0,"21,690",0,"24,690",0,"27,690",0,"27,690",0,"24,690"
1538,正峰,115.04.23,,股東常會,0,0,0,0,0,0,0,0,0,0
1540,喬福,115.04.23,115.04.28,股東常會,0,"1,503,000",0,"1,496,000",0,"1,496,000",0,"1,494,000",0,"1,494,000"
1589,永冠-KY,115.04.23,,股東常會,0,0,0,0,0,0,0,0,0,0
1786,科妍,115.04.23,115.04.28,股東常會,0,"2,594,625",0,"2,648,625","1,000","2,653,625","1,000","2,692,625","1,000","2,714,625"
1786,科妍,115.04.23,115.04.28,除息,0,"2,594,625",0,"2,648,625","1,000","2,653,625","1,000","2,692,625","1,000","2,714,625"
2059,川湖,115.04.23,115.04.28,股東常會,0,"770,730","4,000","707,730","4,000","711,730","5,000","738,730","6,000","735,730"
2105,正新,115.06.11,115.06.16,除息,"10,000","31,144,451","11,000","30,921,451","11,000","38,460,451","5,000","38,522,451","6,000","38,438,451"
2236,百達-KY,115.04.23,115.04.28,股東常會,0,"674,863","21,000","613,863","21,000","608,863","22,000","605,863","32,000","605,863"
2313,華通,115.05.27,115.06.01,除息,"1,606,000","27,484,000","982,000","27,157,000","437,000","27,162,000","432,000","26,226,000","593,000","24,615,000"
2450,神腦,115.06.11,115.06.16,除息,0,"473,000",0,"473,000",0,"473,000",0,"473,000",0,"473,000"
2540,愛山林,115.04.23,115.04.28,股東常會,0,"15,699,932","68,000","15,471,932","69,000","15,471,932","29,000","15,541,932","38,000","15,681,932"
2706,第一店,115.04.23,115.04.28,股東常會,0,"342,000",0,"342,000",0,"342,000",0,"342,000",0,"342,000"
2929,淘帝-KY,115.04.23,115.04.28,股東常會,0,"1,032,000",0,"1,032,000",0,"1,032,000",0,"1,032,000",0,"1,032,000"
3011,今皓,115.04.23,115.04.28,股東常會,0,"3,602,000",0,"3,664,000",0,"3,663,000",0,"3,667,000",0,"3,599,000"
3041,揚智,115.04.23,115.04.28,股東常會,0,"3,238,000","22,000","3,002,000","7,000","2,738,000","15,000","2,588,000","20,000","2,560,000"
3057,喬鼎,115.04.23,,股東常會,0,0,0,0,0,0,0,0,0,0
3413,京鼎,115.05.21,115.05.26,除息,"7,000","7,204,000","31,000","7,527,000","27,000","7,734,000","30,000","7,855,000","23,000","7,925,000"
3447,展達,115.06.15,115.06.18,除息,"1,000","583,000",0,"589,000",0,"589,000","1,000","635,000",0,"627,000"
3702,大聯大,115.04.23,115.04.28,股東常會,"24,000","22,029,998","90,000","23,448,998","193,000","23,068,998","249,000","22,850,998","287,000","23,358,998"
4540,全球傳動,115.04.23,115.04.28,股東常會,"1,000","1,258,000","22,000","1,278,000","74,000","1,225,000","84,000","1,329,000","93,000","1,378,000"
4564,元翎,115.04.23,115.04.28,股東常會,0,"5,948,499",0,"5,917,499","8,000","5,948,499","35,000","6,117,499","48,000","6,346,499"
4960,誠美材,115.04.23,115.04.28,股東常會,"11,000","11,438,000","1,015,000","11,689,000","1,419,000","11,733,000","3,005,000","12,748,000","4,352,000","12,887,000"
5522,遠雄,115.06.18,115.06.24,除息,"1,000","9,426,505","1,000","9,421,505","1,000","9,312,505","1,000","9,008,505","1,000","8,699,505"
6176,瑞儀,115.05.26,115.05.29,除息,"60,000","28,482,058","3,000","27,422,058","19,000","27,083,058","19,000","26,168,058","20,000","25,871,058"
6655,科定,115.04.23,115.04.28,股東常會,0,"8,000",0,"8,000",0,"8,000",0,"8,000",0,"8,000"
9136,巨騰-DR,115.04.27,115.04.30,股東常會,"578,000","1,320,000","578,000","1,320,000","695,000","1,306,000","655,000","1,489,000","591,000","1,488,000"
9906,欣巴巴,115.04.23,115.04.28,股東常會,0,"974,386",0,"970,386",0,"969,386",0,"968,386",0,"962,386"
