股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00401A,主動摩根台灣鑫收,115.08.10,115.08.13,分配收益,0,"3,105,000",0,"3,106,000","1,000","3,106,000","1,000","3,106,000","2,000","3,107,000"
00690,兆豐藍籌30,115.08.12,115.08.17,分配收益,0,"197,000",0,"187,000",0,"187,000",0,"187,000",0,"187,000"
00701,國泰股利精選30,115.08.12,115.08.17,分配收益,0,"1,211,000",0,"1,211,000",0,"1,211,000",0,"1,211,000",0,"1,211,000"
00730,富邦臺灣優質高息,115.08.12,115.08.17,分配收益,0,"1,063,000",0,"1,063,000",0,"1,063,000",0,"1,063,000",0,"1,063,000"
00731,復華富時高息低波,115.08.13,115.08.18,分配收益,0,"201,000",0,"201,000",0,"201,000",0,"202,000",0,"202,000"
00771,元大US高息特別股,115.08.17,115.08.20,分配收益,0,"50,000",0,"50,000",0,"50,000",0,"50,000",0,"50,000"
00775B,台新投等債15+,115.08.11,115.08.14,分配收益,0,0,0,0,0,0,0,0,0,0
00850,元大臺灣ESG永續,115.08.17,115.08.20,分配收益,0,"1,598,000",0,"1,598,000",0,"1,598,000",0,"1,598,000",0,"1,601,000"
00878,國泰永續高股息,115.08.12,115.08.17,分配收益,0,"165,859,000","3,000","164,739,000","3,000","166,119,000","3,000","165,783,000","10,000","168,744,000"
00881,國泰台灣科技龍頭,115.08.12,115.08.17,分配收益,0,"38,836,000","103,000","37,353,000","2,000","36,319,000","1,000","33,003,000",0,"28,421,000"
00891,中信關鍵半導體,115.08.12,115.08.17,分配收益,"4,000","18,316,000","10,000","18,158,000","9,000","17,210,000","15,000","16,805,000","10,000","13,213,000"
00894,中信小資高價30,115.08.12,115.08.17,分配收益,0,"2,275,000",0,"2,276,000","9,000","2,276,000","8,000","2,276,000","8,000","1,766,000"
00900,富邦特選高股息30,115.08.12,115.08.17,分配收益,"1,000","30,515,000","1,000","30,611,000","1,000","31,388,000","1,000","32,096,000","1,000","33,190,000"
00907,永豐優息存股,115.08.19,115.08.24,分配收益,0,"532,000",0,"532,000",0,"532,000",0,"532,000",0,"532,000"
00913,兆豐台灣晶圓製造,115.08.12,115.08.17,分配收益,0,"691,000","2,000","653,000","2,000","653,000","9,000","653,000","9,000","701,000"
00923,群益台ESG低碳50,115.08.12,115.08.17,分配收益,0,"7,886,000",0,"6,125,000",0,"5,059,000",0,"4,635,000",0,"3,383,000"
00929,復華台灣科技優息,115.08.13,115.08.18,分配收益,0,"60,534,000",0,"62,844,000","8,000","64,072,000","8,000","64,018,000","10,000","60,245,000"
00932,兆豐永續高息等權,115.08.12,115.08.17,分配收益,0,"185,000",0,"185,000",0,"185,000",0,"185,000",0,"185,000"
00934,中信成長高股息,115.08.12,115.08.17,分配收益,0,"796,000",0,"796,000",0,"809,000",0,"811,000",0,"813,000"
00936,台新永續高息中小,115.08.11,115.08.14,分配收益,0,"3,536,000",0,"3,536,000",0,"3,536,000",0,"3,537,000",0,"3,555,000"
00938,凱基優選30,115.08.12,115.08.17,分配收益,0,"434,000",0,"434,000",0,"434,000",0,"434,000",0,"435,000"
00943,兆豐電子高息等權,115.08.12,115.08.17,分配收益,0,"422,000",0,"422,000",0,"422,000",0,"422,000",0,"422,000"
00944,野村趨勢動能高息,115.08.12,115.08.17,分配收益,0,"466,000",0,"467,000",0,"467,000",0,"467,000",0,"470,000"
00945B,凱基美國非投等債,115.08.12,115.08.17,分配收益,0,"6,109,000",0,"6,048,000",0,"7,548,000",0,"6,305,000",0,"6,305,000"
00952,凱基台灣AI50,115.08.12,115.08.17,分配收益,0,"1,571,000",0,"1,571,000",0,"1,571,000",0,"1,572,000",0,"1,585,000"
00961,FT臺灣永續高息,115.08.12,115.08.17,分配收益,0,"4,240,000",0,"4,098,000",0,"4,098,000","2,000","5,088,000","2,000","5,088,000"
00962,台新AI優息動能,115.08.11,115.08.14,分配收益,0,"104,000",0,"104,000",0,"104,000",0,"104,000",0,"104,000"
00963,中信全球高股息,115.08.12,115.08.17,分配收益,0,"3,106,000",0,"3,106,000",0,"3,106,000",0,"3,106,000",0,"3,107,000"
00964,中信亞太高股息,115.08.12,115.08.17,分配收益,0,"1,875,000",0,"1,848,000",0,"1,848,000",0,"1,848,000",0,"1,848,000"
009801,中信美國創新科技,115.08.12,115.08.17,分配收益,0,"1,863,000",0,"1,863,000",0,"1,863,000",0,"1,863,000",0,"1,863,000"
009808,華南永昌優選50,115.08.12,115.08.17,分配收益,0,"230,000",0,"230,000",0,"210,000",0,"210,000",0,"210,000"
00980A,主動野村臺灣優選,115.08.12,115.08.17,分配收益,0,"8,105,000","1,000","8,108,000",0,"8,108,000","5,000","8,110,000","9,000","8,110,000"
