股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00690,兆豐藍籌30,115.05.13,115.05.18,分配收益,0,"372,000",0,"372,000",0,"372,000",0,"428,000",0,"428,000"
00730,富邦臺灣優質高息,115.05.13,115.05.18,分配收益,0,"1,777,000",0,"1,777,000",0,"1,777,000",0,"1,777,000",0,"1,777,000"
00731,復華富時高息低波,115.05.14,115.05.19,分配收益,0,"389,000",0,"389,000",0,"389,000",0,"389,000",0,"389,000"
00771,元大US高息特別股,115.05.18,115.05.21,分配收益,0,"50,000",0,"50,000",0,"50,000",0,"50,000",0,"50,000"
00775B,新光投等債15+,115.05.12,115.05.15,分配收益,0,0,0,0,0,0,0,0,0,0
00850,元大臺灣ESG永續,115.05.18,115.05.21,分配收益,0,"3,000,000",0,"3,008,000",0,"3,012,000",0,"3,092,000",0,"3,092,000"
00878,國泰永續高股息,115.05.13,115.05.18,分配收益,"55,000","119,888,000","59,000","123,505,000","68,000","124,651,000","56,000","127,558,000","86,000","125,556,000"
00891,中信關鍵半導體,115.05.13,115.05.18,分配收益,"13,000","19,753,000","18,000","19,345,000","39,000","16,564,000","60,000","14,546,000","31,000","11,305,000"
00894,中信小資高價30,115.05.13,115.05.18,分配收益,"39,000","2,309,000","75,000","2,309,000","77,000","2,419,000","74,000","2,419,000","74,000","2,419,000"
00900,富邦特選高股息30,115.05.13,115.05.18,分配收益,0,"57,276,000",0,"62,506,000",0,"65,161,000","11,000","64,786,000","9,000","63,955,000"
00929,復華台灣科技優息,115.05.14,115.05.19,分配收益,"21,000","57,231,000","23,000","57,022,000","58,000","57,223,000","57,000","57,135,000","55,000","57,135,000"
00930,永豐ESG低碳高息,115.05.20,115.05.25,分配收益,0,"1,387,000",0,"1,387,000",0,"1,841,000",0,"1,841,000",0,"1,841,000"
00932,兆豐永續高息等權,115.05.13,115.05.18,分配收益,0,"259,000",0,"259,000",0,"259,000",0,"259,000",0,"259,000"
00934,中信成長高股息,115.05.13,115.05.18,分配收益,0,"4,339,000",0,"5,082,000",0,"5,203,000",0,"5,203,000",0,"5,203,000"
00936,台新永續高息中小,115.05.12,115.05.15,分配收益,0,"3,802,000",0,"3,802,000",0,"3,802,000",0,"3,802,000",0,"3,802,000"
00938,凱基優選30,115.05.13,115.05.18,分配收益,0,"350,000",0,"350,000",0,"350,000",0,"350,000",0,"350,000"
00943,兆豐電子高息等權,115.05.13,115.05.18,分配收益,0,"433,000",0,"433,000",0,"633,000",0,"633,000",0,"633,000"
00944,野村趨勢動能高息,115.05.13,115.05.18,分配收益,0,"483,000",0,"483,000",0,"483,000",0,"483,000",0,"483,000"
00945B,凱基美國非投等債,115.05.13,115.05.18,分配收益,0,"7,801,000",0,"7,801,000",0,"7,801,000",0,"7,801,000",0,"7,801,000"
00952,凱基台灣AI50,115.05.13,115.05.18,分配收益,0,"550,000",0,"550,000",0,"613,000",0,"625,000",0,"573,000"
00961,FT臺灣永續高息,115.05.13,115.05.18,分配收益,0,"1,683,000",0,"1,683,000",0,"1,683,000",0,"1,967,000",0,"1,967,000"
00962,台新AI優息動能,115.05.12,115.05.15,分配收益,0,"145,000",0,"145,000",0,"145,000",0,"145,000",0,"145,000"
00963,中信全球高股息,115.05.13,115.05.18,分配收益,0,"2,339,000",0,"2,339,000",0,"2,339,000",0,"2,339,000",0,"2,339,000"
00964,中信亞太高股息,115.05.13,115.05.18,分配收益,0,"1,259,000",0,"1,259,000",0,"1,281,000",0,"1,268,000",0,"1,268,000"
009808,華南永昌優選50,115.05.13,115.05.18,分配收益,0,"216,000",0,"216,000",0,"216,000",0,"216,000",0,"216,000"
00980A,主動野村臺灣優選,115.05.13,115.05.18,分配收益,0,"7,154,000",0,"5,453,000","5,000","5,143,000","5,000","4,173,000","5,000","3,617,000"
00981T,平衡凱基雙核收息,115.05.13,115.05.18,分配收益,0,"1,194,000",0,"1,194,000",0,"1,194,000",0,"1,194,000",0,"1,194,000"
00982A,主動群益台灣強棒,115.05.13,115.05.18,分配收益,"65,000","51,412,000","83,000","51,512,000","79,000","50,313,000","97,000","47,879,000","162,000","47,877,000"
00982D,主動富邦動態入息,115.05.13,115.05.18,分配收益,0,"919,000",0,"919,000",0,"919,000",0,"919,000",0,"919,000"
00983D,主動富邦複合收益,115.05.13,115.05.18,分配收益,0,"1,186,000",0,"1,186,000",0,"1,186,000",0,"1,186,000",0,"1,186,000"
1568,倉佑,115.05.21,115.05.26,除息,"5,000","559,000","5,000","572,000","5,000","569,000","4,000","673,000","4,000","668,000"
2031,新光鋼,115.06.09,115.06.12,除息,"1,000","3,194,000","1,000","3,185,000","11,000","3,154,000","10,000","3,038,000","10,000","2,986,000"
2105,正新,115.06.11,115.06.16,除息,"8,000","34,769,451","8,000","32,884,451","23,000","33,513,451","63,000","33,098,451","163,000","32,886,451"
2313,華通,115.05.27,115.06.01,除息,"559,000","21,833,000","520,000","21,919,000","682,000","24,893,000","1,125,000","24,710,000","1,333,000","26,271,000"
2385,群光,115.06.09,115.06.12,除息,"5,000","49,550,881","5,000","49,701,881","3,000","49,233,881","3,000","48,900,881","3,000","48,777,881"
2426,鼎元,115.05.19,115.05.22,除息,"788,000","10,342,000","2,725,000","13,376,000","877,000","12,987,000","809,000","12,673,000","670,000","12,645,000"
2450,神腦,115.06.11,115.06.16,除息,"4,000","464,000","4,000","464,000","4,000","464,000","4,000","482,000","4,000","470,000"
3015,全漢,115.06.10,115.06.15,除息,0,"3,938,000",0,"3,916,000",0,"3,939,000",0,"4,046,000","1,000","4,294,000"
3257,虹冠電,115.05.18,115.05.21,除息,"6,000","2,484,918","6,000","2,396,918","7,000","2,347,918","7,000","2,347,918","7,000","2,322,918"
3413,京鼎,115.05.21,115.05.26,除息,"4,000","7,905,000","7,000","7,789,000","4,000","7,549,000","4,000","7,516,000","4,000","7,272,000"
3447,展達,115.06.15,115.06.18,除息,0,"593,000",0,"584,000",0,"583,000",0,"586,000",0,"590,000"
3705,永信,115.06.17,115.06.23,除息,0,"2,438,000",0,"2,448,000",0,"2,457,000",0,"2,482,000",0,"2,541,000"
4555,氣立,115.05.27,115.06.01,除息,"36,000","488,000","36,000","553,000","36,000","542,000","36,000","492,000","36,000","492,000"
5522,遠雄,115.06.18,115.06.24,除息,"1,000","10,231,505","1,000","10,093,505",0,"9,900,505",0,"9,847,505",0,"9,826,505"
6120,達運,115.06.15,115.06.18,除息,"1,000","6,819,000","8,000","6,854,000","6,000","7,077,000","6,000","6,984,000","6,000","6,874,000"
