股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.09.01,115.09.04,分配收益,"14,000","23,628,000","15,000","22,871,000","20,000","23,513,000","32,000","23,284,000","214,000","22,413,000"
00406A,主動中信台灣收益,115.08.27,115.09.01,分配收益,"164,000","16,836,000","184,000","13,048,000","83,000","12,948,000","89,000","11,016,000","103,000","10,279,000"
0053,元大電子,115.09.01,115.09.04,受益人大會,0,"59,000",0,"57,000",0,"57,000",0,"57,000",0,"57,000"
00907,永豐優息存股,115.08.19,115.08.24,分配收益,0,"732,000",0,"732,000",0,"732,000",0,"732,000",0,"732,000"
00939,統一台灣高息動能,115.08.26,115.08.31,分配收益,0,"2,948,000",0,"2,839,000",0,"2,546,000",0,"2,382,000",0,"2,354,000"
00946,群益科技高息成長,115.08.27,115.09.01,分配收益,0,"1,382,000",0,"1,410,000",0,"1,410,000",0,"1,410,000",0,"1,410,000"
00953B,群益優選非投等債,115.08.27,115.09.01,分配收益,0,"81,302,000",0,"86,308,000",0,"86,308,000",0,"85,325,000",0,"85,325,000"
00984D,主動聯博全球非投,115.08.26,115.08.31,分配收益,0,"29,691,000",0,"32,691,000",0,"32,691,000",0,"32,596,000",0,"32,596,000"
00985B,群益ESG投等債0-5,115.08.27,115.09.01,分配收益,0,"7,594,000",0,"6,794,000",0,"6,394,000",0,"6,394,000",0,"6,025,000"
1203,味王,115.08.28,115.09.02,除息,0,"49,000",0,"49,000",0,"49,000",0,"49,000",0,"49,000"
1315,達新,115.08.21,115.08.26,除息,0,"45,000",0,"45,000",0,"45,000",0,"44,000",0,"44,000"
1339,昭輝,115.08.21,115.08.26,除息,0,"253,000",0,"253,000",0,"251,000",0,"266,000",0,"274,000"
1409,新纖,115.08.21,115.08.26,除息,"3,000","64,252,000","38,000","63,561,000","48,000","63,924,000","59,000","63,498,000","66,000","63,270,000"
1453,大將,115.08.24,115.08.27,除權,"1,000","221,480","1,000","219,480","1,000","219,480","1,000","219,480","3,000","219,480"
1531,高林股,115.08.25,115.08.28,除息,"4,000","242,000","4,000","242,000","4,000","242,000","4,000","242,000","4,000","242,000"
1563,巧新,115.08.21,115.08.26,減資,0,0,"2,000","8,000","2,000","8,000","3,000","672,000","2,000","766,000"
1583,程泰,115.08.20,115.08.25,除權息,0,"107,000",0,"107,000",0,"107,000",0,"107,000",0,"107,000"
1709,和益,115.08.24,115.08.27,除息,"61,000","1,889,000","137,000","1,895,000","33,000","1,840,000","37,000","1,938,000","57,000","2,001,000"
1722,台肥,115.08.19,115.08.24,除息,0,"25,292,000",0,"25,095,000",0,"24,658,000",0,"24,398,000",0,"24,289,000"
1732,毛寶,115.08.26,115.08.31,除息,"7,000","485,000","32,000","485,000","32,000","469,000","32,000","476,000","32,000","476,000"
1734,杏輝,115.08.21,115.08.26,除權,0,"659,390",0,"659,390",0,"659,390",0,"659,390",0,"659,390"
1783,和康生,115.08.26,115.08.31,除息,0,"296,000",0,"302,000",0,"302,000",0,"302,000",0,"302,000"
1795,美時,115.08.25,115.08.28,除權息,"15,000","14,555,000","8,000","14,799,000","6,000","15,015,000","7,000","15,353,000","11,000","15,337,000"
1808,潤隆,115.09.17,115.09.22,除息,"5,000","12,172,000","3,000","12,453,000","2,000","12,528,000","2,000","12,443,000","2,000","13,728,000"
2012,春雨,115.08.19,115.08.24,除息,0,"155,000",0,"155,000",0,"156,000",0,"156,000",0,"167,000"
2059,川湖,115.08.21,115.08.26,除息,0,"398,118","2,000","365,118","6,000","476,118","6,000","458,118","10,000","398,118"
2101,南港,115.08.24,115.08.27,除息,"13,000","13,458,000","11,000","13,864,000","7,000","13,952,000","5,000","14,246,000","4,000","14,337,000"
2109,華豐,115.09.21,115.09.24,除息,0,"559,000",0,"559,000",0,"559,000",0,"559,000",0,"559,000"
2201,裕隆,115.08.19,115.08.24,除息,0,"53,242,280",0,"54,030,280",0,"54,096,280",0,"54,164,280","3,000","54,374,280"
2250,IKKA-KY,115.08.24,115.08.27,除息,"2,000","640,728","2,000","641,728","2,000","641,728","2,000","641,728","2,000","644,728"
2364,倫飛,115.08.24,115.08.27,除權息,"1,000","295,800","3,000","298,800","5,000","298,800","14,000","398,800","4,000","400,800"
2383,台光電,115.08.24,115.08.27,除息,"58,000","552,915","21,000","594,915","27,000","607,935","41,000","623,935","42,000","705,935"
2415,錩新,115.08.21,115.08.26,除權息,0,"1,090,000","5,000","1,094,000",0,"1,121,000",0,"1,131,000",0,"1,133,000"
2420,新巨,115.08.20,115.08.25,除息,0,"582,000",0,"572,000",0,"570,000",0,"575,000",0,"742,000"
2428,興勤,115.08.21,115.08.26,除息,0,"2,904,000","13,000","2,520,000","11,000","2,116,000","10,000","2,039,000","11,000","1,945,000"
2439,美律,115.08.21,115.08.26,除息,0,"22,867,517","3,000","22,758,517","23,000","22,626,517","27,000","22,360,517","8,000","22,494,517"
2441,超豐,115.08.21,115.08.26,除息,0,"13,643,000","7,000","13,411,000","14,000","13,260,000","17,000","13,163,000","87,000","14,303,000"
2464,盟立,115.08.27,115.09.01,除息,"893,000","4,801,000","923,000","4,921,000","1,025,000","5,206,000","904,000","5,665,000","984,000","6,996,000"
2464,盟立,115.08.27,115.09.01,現金增資,"893,000","4,801,000","923,000","4,921,000","1,025,000","5,206,000","904,000","5,665,000","984,000","6,996,000"
2542,興富發,115.09.17,115.09.22,除息,"16,000","110,388,466","84,000","115,578,466","116,000","119,525,466","139,000","121,650,466","193,000","122,211,466"
2614,東森,115.09.30,115.10.05,除權息,"10,000","2,836,010","4,000","2,951,010","4,000","3,137,010","1,000","3,180,010","1,000","3,181,010"
2701,萬企,115.08.26,115.08.31,除息,0,"168,000",0,"168,000",0,"168,000",0,"168,000",0,"168,000"
2706,第一店,115.09.02,115.09.07,除息,0,"306,000",0,"306,000",0,"306,000",0,"306,000",0,"392,000"
2753,八方雲集,115.08.20,115.08.25,除權,0,"660,000",0,"655,000","2,000","689,000","2,000","686,000","2,000","770,000"
2845,遠東銀,115.08.27,115.09.01,除權息,"20,000","73,458,314","20,000","74,650,314","25,000","74,666,314","24,000","77,421,414","24,000","78,414,414"
2889,國票金,115.08.26,115.08.31,除權息,"3,000","40,593,694","4,000","40,589,694","4,000","41,821,694","4,000","41,650,694","4,000","42,925,694"
2901,欣欣,115.08.21,115.08.26,除息,0,"48,000",0,"48,000",0,"48,000",0,"48,000",0,"48,000"
2905,三商,115.08.25,115.08.28,除息,"1,000","2,036,060","1,000","2,035,060","3,000","2,035,060","5,000","2,252,060","6,000","2,337,060"
3013,晟銘電,115.08.27,115.09.01,除權,"43,000","12,361,000","103,000","12,638,000","108,000","12,670,908","43,000","12,732,273","45,000","12,758,273"
3016,嘉晶,115.08.21,115.08.26,現金增資,"3,000","2,501,000","143,000","2,507,000","168,000","2,530,000","199,000","2,484,000","224,000","2,620,000"
3025,星通,115.08.21,115.08.26,除息,0,"2,452,000","1,000","2,416,000","1,000","2,416,000","1,000","2,386,000","1,000","2,411,000"
3052,夆典,115.08.26,115.08.31,除息,0,"1,921,000",0,"1,944,000",0,"1,939,000",0,"1,966,000",0,"1,969,000"
3135,凌航,115.08.26,115.08.31,除權息,"102,000","1,475,000","181,000","1,483,000","124,000","1,482,000","130,000","1,488,000","163,000","1,487,000"
3209,全科,115.08.25,115.08.28,除權息,"8,000","3,785,360","6,000","3,924,360","7,000","4,015,360","12,000","4,096,360","8,000","4,180,360"
3346,麗清,115.08.27,115.09.01,除息,"8,000","2,709,597","8,000","2,707,597","8,000","2,789,597","8,000","2,784,597","8,000","2,780,597"
3416,融程電,115.08.26,115.08.31,除權,"4,000","1,153,000","4,000","1,153,000","4,000","1,151,000","4,000","1,173,000","4,000","1,162,000"
3528,安馳,115.08.21,115.08.26,除息,0,"918,000",0,"914,000","11,000","897,000","11,000","889,000","11,000","883,365"
3591,艾笛森,115.09.04,115.09.09,減資,"33,000","1,164,000","35,000","1,166,000","35,000","1,235,000","35,000","1,267,000","35,000","1,267,000"
3661,世芯-KY,115.08.28,115.09.02,除息,"32,000","623,461","34,000","648,461","31,000","779,800","48,000","897,800","52,000","1,027,800"
3702,大聯大,115.08.21,115.08.26,除息,0,"13,626,492","3,000","13,810,492","86,000","13,840,492","137,000","13,420,492","148,000","13,924,492"
4438,廣越,115.08.27,115.09.01,除息,0,"406,079",0,"406,079",0,"406,079",0,"406,079",0,"406,079"
4736,泰博,115.08.21,115.08.26,除權息,0,"568,000",0,"543,000","1,000","527,000","1,000","556,000","2,000","660,000"
4977,眾達-KY,115.08.26,115.08.31,現金增資,"134,000","5,135,066","128,000","5,233,066","99,000","5,284,066","164,000","5,368,066","147,000","5,510,066"
5243,乙盛-KY,115.09.08,115.09.11,除息,"19,000","4,129,854","18,000","4,149,854","23,000","4,166,854","40,000","4,289,854","54,000","4,414,000"
5283,禾聯碩,115.08.24,115.08.27,除權息,0,"647,000",0,"644,000",0,"643,000",0,"653,000",0,"689,000"
5284,jpp-KY,115.08.19,115.08.24,現金增資,0,"2,296,494",0,"2,258,494","1,000","2,244,494","13,000","2,234,494","13,000","2,213,494"
5534,長虹,115.08.19,115.08.24,除息,0,"8,583,035",0,"8,582,035",0,"8,542,035",0,"9,051,035",0,"9,240,035"
6108,競國,115.10.01,115.10.06,除息,"80,000","637,000","94,000","637,000","47,000","638,000","32,000","771,000","33,000","792,000"
6133,金橋,115.09.03,115.09.08,除息,0,"2,128,000",0,"2,128,000",0,"2,156,000",0,"2,214,000",0,"2,227,000"
6139,亞翔,115.08.27,115.09.01,除息,"20,000","6,785,000","22,000","6,799,000","29,000","6,667,000","32,000","6,470,000","32,000","6,419,000"
6183,關貿,115.08.24,115.08.27,除息,0,"138,000",0,"138,000",0,"137,000",0,"137,000",0,"137,000"
6216,居易,115.08.20,115.08.25,除息,0,"943,000",0,"943,000",0,"945,000",0,"943,000",0,"967,000"
6426,統新,115.08.27,115.09.01,除息,"75,000","700,000","91,000","704,000","71,000","719,000","97,000","762,000","94,000","773,000"
6504,南六,115.09.04,115.09.09,除息,0,"311,000",0,"312,000",0,"313,000",0,"311,000",0,"311,000"
6533,晶心科,115.09.01,115.09.04,現金增資,"35,000","4,275,750","43,000","4,280,750","40,000","4,301,375","39,000","4,334,375","39,000","4,332,375"
6534,正瀚-創,115.08.26,115.08.31,除息,0,"330,000",0,"330,000",0,"331,000",0,"337,000",0,"344,000"
6669,緯穎,115.08.27,115.09.01,除權,"13,000","9,997,793","15,000","9,934,793","14,000","9,977,793","25,000","10,003,793","27,000","9,999,793"
6753,龍德造船,115.08.27,115.09.01,除息,"12,000","895,050","15,000","895,050","20,000","901,050","19,000","901,050","42,000","899,050"
6770,力積電,115.08.21,115.08.26,除息,"45,000","193,200,158","1,945,000","194,628,158","3,201,000","185,719,158","4,760,000","194,056,158","6,002,000","205,238,158"
6873,泓德能源,115.08.19,115.08.24,除息,0,"4,833,636",0,"4,887,638",0,"4,906,638","3,000","4,898,638","4,000","4,887,638"
6914,阜爾運通,115.08.20,115.08.25,除權息,0,"209,000",0,"210,000",0,"210,000",0,"210,000",0,"211,000"
6949,沛爾生醫-創,115.08.21,115.08.26,變更面額,0,0,"1,000",0,"1,000",0,"4,000","70,000","4,000","77,000"
7730,暉盛-創,115.08.24,115.08.27,除權息,"1,000","9,000","1,000","9,000","1,000","9,000","1,000","9,000","1,000","9,000"
7780,大研生醫*,115.08.28,115.09.02,除息,"1,000","4,893,000","1,000","4,973,000","1,000","4,988,000","1,000","5,009,000","1,000","5,014,000"
8442,威宏-KY,115.08.20,115.08.25,除息,0,"243,006",0,"243,006","10,000","243,006","10,000","243,006","20,000","276,006"
8466,美吉吉-KY,115.08.28,115.09.02,除息,0,"193,421",0,"193,421",0,"193,421",0,"193,421",0,"192,421"
9105,泰金寶-DR,115.08.25,115.08.28,除息,"325,000","44,884,094","461,000","45,108,094","572,000","44,889,094","573,000","46,302,094","861,000","47,514,094"
9917,中保科,115.08.25,115.08.28,除權,0,"3,944,425",0,"3,998,425",0,"4,001,425",0,"4,120,425",0,"4,533,425"
9921,巨大,115.08.19,115.08.24,除息,0,"12,629,496",0,"12,463,496","1,000","12,256,496","16,000","12,464,496","20,000","12,393,496"
9927,泰銘,115.09.23,115.09.30,除息,0,"374,000",0,"389,000",0,"387,000",0,"387,000",0,"387,000"
9941,裕融,115.08.26,115.08.31,除權息,"3,000","15,398,011","3,000","15,509,011","3,000","15,546,011","3,000","15,603,011","3,000","16,933,011"
9946,三發地產,115.08.21,115.08.26,除息,0,"1,499,150",0,"1,504,150",0,"1,531,150",0,"1,595,150",0,"1,593,150"
