股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00631L,元大台灣50正2,115.03.19,115.03.24,ETF分割,"490,000",0,"564,000","3,000","627,000","42,000","697,000","494,000","559,000","1,175,000"
00662,富邦NASDAQ,115.03.24,115.03.27,受益人大會,"10,000","38,905,000","10,000","40,468,000","10,000","40,468,000","10,000","40,022,000","10,000","40,622,000"
00674R,期元大S&P黃金反1,115.04.09,,ETF反分割,0,0,0,0,0,0,0,0,0,0
00710B,復華彭博非投等債,115.03.12,115.03.17,分配收益,0,"483,000",0,"483,000",0,"483,000",0,"483,000",0,"483,000"
00711B,復華彭博新興債,115.03.12,115.03.17,分配收益,0,"99,000",0,"99,000",0,"99,000",0,"99,000",0,"99,000"
00712,復華富時不動產,115.03.12,115.03.17,分配收益,0,"69,669,000",0,"45,469,000",0,"41,209,000","6,000","38,137,000","5,000","34,237,000"
00713,元大台灣高息低波,115.03.16,115.03.19,分配收益,0,"6,772,000",0,"6,777,000",0,"6,777,000",0,"6,777,000",0,"6,936,000"
00728,第一金工業30,115.03.13,115.03.18,分配收益,0,"91,000",0,"91,000",0,"91,000",0,"91,000",0,"91,000"
00918,大華優利高填息30,115.03.13,115.03.18,分配收益,0,"15,869,000",0,"15,882,000",0,"16,255,000",0,"16,255,000",0,"18,402,000"
00929,復華台灣科技優息,115.03.12,115.03.17,分配收益,0,"55,542,000",0,"55,110,000",0,"54,104,000",0,"54,104,000",0,"54,426,000"
00930,永豐ESG低碳高息,115.03.17,115.03.20,分配收益,0,"1,912,000",0,"1,912,000",0,"1,883,000",0,"1,883,000",0,"1,883,000"
1101,台泥,115.03.16,115.03.19,股東常會,"1,000","179,740,565","41,000","176,606,565","124,000","171,917,565","352,000","169,566,565","261,000","168,337,565"
1102,亞泥,115.03.20,115.03.25,股東常會,"1,000","95,815,000","1,000","93,638,000","4,000","91,250,000","22,000","88,602,000","19,000","86,505,000"
1103,嘉泥,115.03.16,115.03.19,股東常會,0,"1,840,000","2,000","1,801,000","2,000","1,767,000","2,000","1,753,000","2,000","1,753,000"
1104,環泥,115.03.20,115.03.25,股東常會,"1,000","1,754,660","1,000","1,751,660","1,000","1,874,660","1,000","1,865,660","1,000","1,862,660"
1210,大成,115.03.23,115.03.26,股東常會,"12,000","8,175,100","10,000","8,128,100","8,000","7,999,100","6,000","7,832,100","6,000","7,890,100"
1215,卜蜂,115.03.20,115.03.25,股東常會,"9,000","5,470,900","9,000","5,355,900","9,000","5,179,900","9,000","5,001,900","9,000","4,788,900"
1216,統一,115.03.20,115.03.25,股東常會,"26,000","155,044,351","26,000","152,007,351","15,000","152,089,211","15,000","150,867,211","16,000","150,593,813"
1218,泰山,115.03.23,115.03.26,股東常會,0,"4,855,908",0,"5,390,908",0,"5,710,908",0,"6,210,908",0,"6,257,908"
1219,福壽,115.03.13,115.03.18,股東常會,0,"1,179,880",0,"1,150,880",0,"1,142,880",0,"1,136,880",0,"1,136,880"
1220,台榮,115.04.17,115.04.22,股東常會,0,"628,000",0,"625,000",0,"620,000",0,"620,000",0,"620,000"
1229,聯華,115.03.20,115.03.25,股東常會,"11,000","16,871,667","11,000","16,690,667","11,000","16,073,667","11,000","15,441,667","11,000","15,009,667"
1232,大統益,115.03.16,115.03.19,股東常會,0,"322,000",0,"322,000",0,"317,000",0,"312,000",0,"310,000"
1233,天仁,115.04.01,115.04.08,股東常會,0,"60,000",0,"59,000",0,"58,000",0,"58,000",0,"58,000"
1256,鮮活果汁-KY,115.03.20,115.03.25,股東常會,0,"200,000",0,"188,000",0,"186,000",0,"186,000",0,"187,000"
1301,台塑,115.03.20,115.03.25,股東常會,"1,217,000","216,291,943","1,224,000","214,941,943","1,283,000","211,831,183","1,322,000","205,079,183","1,355,000","205,582,183"
1303,南亞,115.03.23,115.03.26,股東常會,"3,526,000","38,791,664","3,418,000","32,617,664","3,190,000","32,461,744","3,872,000","29,495,744","3,497,000","23,706,744"
1304,台聚,115.03.23,115.03.26,股東常會,"112,000","18,791,000","54,000","18,175,000","117,000","17,294,000","125,000","16,237,000","111,000","16,165,000"
1305,華夏,115.03.20,115.03.25,股東常會,"364,000","17,172,000","374,000","16,467,000","422,000","15,455,000","375,000","14,977,000","450,000","14,309,000"
1308,亞聚,115.03.20,115.03.25,股東常會,"38,000","10,520,000","33,000","10,730,000","127,000","10,785,000","31,000","10,633,000","99,000","10,298,000"
1309,台達化,115.03.20,115.03.25,股東常會,"234,000","10,282,850","203,000","9,268,850","253,000","8,455,850","85,000","7,671,850","42,000","6,795,850"
1310,台苯,115.03.19,115.03.24,股東常會,"24,000","11,057,000","39,000","10,810,000","134,000","10,576,000","107,000","9,357,000","139,000","9,722,000"
1312,國喬,115.03.23,115.03.26,股東常會,"2,984,000","51,616,435","3,021,000","50,906,435","3,448,000","50,520,435","3,390,000","48,430,435","3,248,000","47,776,435"
1313,聯成,115.03.20,115.03.25,股東常會,"54,000","24,980,000","65,000","23,378,000","130,000","22,845,000","213,000","19,367,000","212,000","17,770,000"
1314,中石化,115.03.16,115.03.19,股東常會,0,"149,195,033","68,000","141,529,033","79,000","129,098,033","1,032,000","124,867,033","753,000","114,037,033"
1315,達新,115.04.20,115.04.23,股東常會,0,"30,000",0,"30,000",0,"28,000",0,"28,000",0,"27,000"
1315,達新,115.04.20,115.04.23,除息,0,"30,000",0,"30,000",0,"28,000",0,"28,000",0,"27,000"
1319,東陽,115.04.10,115.04.15,股東常會,"86,000","18,000,854","44,000","17,365,854","48,000","16,561,854","42,000","15,472,854","135,000","14,944,382"
1326,台化,115.03.20,115.03.25,股東常會,"646,000","116,860,318","656,000","115,583,318","657,000","115,030,318","748,000","113,175,318","900,000","112,127,318"
1337,再生-KY,115.04.02,115.04.09,股東常會,"6,000","2,270,994","6,000","2,107,994","6,000","1,999,994","6,000","1,939,994","6,000","1,870,994"
1338,廣華-KY,115.03.16,115.03.19,股東常會,0,"251,000",0,"251,000",0,"254,000",0,"254,000",0,"254,000"
1339,昭輝,115.03.23,115.03.26,股東常會,0,"217,000","1,000","216,000","2,000","214,000","2,000","213,000",0,"213,000"
1402,遠東新,115.03.23,115.03.26,股東常會,"83,000","49,208,000","104,000","44,671,000","87,000","41,531,000","91,000","37,384,000","91,000","36,448,000"
1409,新纖,115.03.20,115.03.25,股東常會,"49,000","11,943,000","34,000","12,130,000","27,000","12,072,000","9,000","12,484,000","11,000","12,421,000"
1413,宏洲,115.03.16,,股東常會,0,0,0,0,0,0,0,0,0,0
1414,東和,115.03.25,115.03.30,除息,0,"149,000",0,"143,000",0,"140,000",0,"140,000",0,"140,000"
