股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.07.30,115.08.04,分配收益,"15,000","21,752,000","11,000","21,752,000","10,000","21,752,000","6,000","21,245,000","3,000","20,624,000"
00406A,主動中信台灣收益,115.07.27,115.07.30,分配收益,"1,000","3,330,000","20,000","3,829,000",0,"3,379,000","3,000","3,379,000","10,000","3,379,000"
00930,永豐ESG低碳高息,115.07.21,115.07.24,分配收益,0,"1,273,000",0,"1,273,000",0,"1,273,000",0,"1,273,000",0,"1,273,000"
00939,統一台灣高息動能,115.07.27,115.07.30,分配收益,0,"1,128,000",0,"1,143,000",0,"1,143,000",0,"2,958,000","1,000","2,958,000"
00946,群益科技高息成長,115.07.29,115.08.03,分配收益,0,"1,443,000",0,"1,443,000",0,"1,443,000",0,"1,443,000",0,"1,443,000"
00953B,群益優選非投等債,115.07.29,115.08.03,分配收益,0,"66,134,000",0,"67,594,000",0,"67,594,000",0,"67,594,000",0,"68,009,000"
00984D,主動聯博全球非投,115.07.27,115.07.30,分配收益,0,"13,360,000",0,"13,206,000",0,"13,348,000",0,"13,348,000",0,"13,348,000"
00985B,群益ESG投等債0-5,115.07.29,115.08.03,分配收益,0,"5,745,000",0,"5,745,000",0,"5,745,000",0,"5,793,000",0,"5,793,000"
1216,統一,115.07.24,115.07.29,除息,"3,000","221,943,486","7,000","220,369,486","8,000","218,928,221","11,000","216,794,476","6,000","215,904,476"
1231,聯華食,115.07.24,115.07.29,除權息,0,"6,251,900",0,"6,183,900",0,"6,220,900",0,"6,205,900",0,"6,257,900"
1339,昭輝,115.08.21,115.08.26,除息,0,"321,000",0,"321,000",0,"321,000",0,"319,000",0,"319,000"
1419,新紡,115.07.31,115.08.05,除息,0,"655,000",0,"699,000",0,"694,000",0,"761,000",0,"734,000"
1437,勤益控,115.07.30,115.08.04,除息,0,"419,000",0,"419,000",0,"417,000",0,"417,000",0,"458,000"
1439,雋揚,115.07.31,115.08.05,除息,0,"126,000",0,"126,000",0,"126,000",0,"126,000",0,"126,000"
1465,偉全,115.07.28,115.07.31,除息,0,"210,000",0,"210,000",0,"208,000",0,"208,000",0,"207,000"
1474,弘裕,115.07.29,115.08.03,除息,0,"305,000",0,"305,000",0,"305,000",0,"305,000",0,"305,000"
1514,亞力,115.07.24,115.07.29,除權息,"41,000","19,413,618","516,000","17,998,618","530,000","17,991,618","535,000","18,091,618","106,000","18,382,618"
1519,華城,115.07.30,115.08.04,除權息,"10,000","17,191,400","10,000","17,304,400","13,000","17,363,400","17,000","17,432,941","13,000","17,455,941"
1527,鑽全,115.07.28,115.07.31,除息,0,"1,495,000",0,"1,495,000",0,"1,514,000",0,"1,513,000",0,"1,493,000"
1530,亞崴,115.07.21,115.07.24,除權息,0,"222,000",0,"223,000",0,"222,000",0,"222,000",0,"230,000"
1532,勤美,115.07.27,115.07.30,除息,0,"6,785,000",0,"6,818,000",0,"6,804,000",0,"6,869,000",0,"6,825,000"
1540,喬福,115.07.23,115.07.28,除息,0,"1,309,000",0,"1,309,000","3,000","1,316,000","5,000","1,274,000","1,000","1,357,000"
