股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.07.03,115.07.08,分配收益,"45,000","9,342,000","192,000","9,350,000","91,000","8,844,000","91,000","8,829,000","87,000","8,829,000"
00685L,群益臺灣加權正2,115.06.25,115.06.30,ETF分割,"51,000","347,000","60,000","1,439,000","56,000","1,681,000","103,000","1,692,000","95,000","3,362,000"
00907,永豐優息存股,115.06.17,115.06.23,分配收益,0,"529,000",0,"529,000",0,"529,000",0,"529,000",0,"529,000"
00939,統一台灣高息動能,115.06.26,115.07.01,分配收益,0,"4,504,000",0,"5,415,000",0,"8,021,000",0,"9,983,000",0,"10,237,000"
00946,群益科技高息成長,115.06.30,115.07.03,分配收益,0,"2,031,000",0,"3,436,000",0,"3,436,000",0,"3,436,000",0,"3,436,000"
00984D,主動聯博全球非投,115.06.26,115.07.01,分配收益,0,"10,028,000",0,"10,028,000",0,"8,031,000",0,"8,031,000",0,"8,070,000"
1101,台泥,115.06.25,115.06.30,除息,"57,000","523,221,087","63,000","521,539,565","68,000","517,224,565","69,000","509,232,565","73,000","503,215,565"
1102,亞泥,115.07.10,115.07.15,除息,"4,000","49,881,395","4,000","50,777,395","4,000","49,051,395","4,000","48,752,395","4,000","48,288,395"
1104,環泥,115.06.17,115.06.23,除息,0,"6,660,660",0,"6,475,660",0,"6,312,660",0,"6,271,660",0,"6,229,660"
1233,天仁,115.07.15,115.07.20,除息,0,"114,000",0,"114,000",0,"115,000",0,"114,000",0,"114,000"
1234,黑松,115.06.23,115.06.26,除息,0,"1,229,000",0,"1,232,000",0,"1,223,000",0,"1,218,000",0,"1,230,000"
1256,鮮活果汁-KY,115.07.03,115.07.08,除息,0,"247,000",0,"256,000",0,"255,000",0,"255,000",0,"251,000"
1301,台塑,115.06.24,115.06.29,除息,"119,000","132,491,138","204,000","146,914,277","270,000","143,978,277","258,000","150,219,277","276,000","149,869,277"
1303,南亞,115.07.02,115.07.07,除息,"4,774,000","5,034,340","4,849,000","5,062,340","4,797,000","4,132,340","4,117,000","3,866,340","3,716,000","3,581,340"
1307,三芳,115.06.30,115.07.03,除息,0,"6,501,000",0,"6,698,000",0,"6,762,000",0,"6,879,000",0,"6,848,000"
1326,台化,115.06.17,115.06.23,除息,0,"43,816,407",0,"45,843,407","1,000","47,610,407","39,000","50,075,407","76,000","49,717,407"
1342,八貫,115.06.26,115.07.01,現金增資,"1,000","828,000","1,000","861,000","1,000","862,000","3,000","901,000","6,000","867,000"
1410,南染,115.06.24,115.06.29,除息,0,"104,000",0,"120,000",0,"120,000",0,"132,000",0,"132,000"
1440,南紡,115.07.10,115.07.15,除息,"1,000","20,138,000","1,000","20,260,000","101,000","19,613,000","101,000","19,711,000","105,000","19,811,000"
1452,宏益,115.06.26,115.07.01,除息,0,"340,000",0,"340,000",0,"340,000",0,"397,000",0,"397,000"
1455,集盛,115.06.29,115.07.02,除息,0,"4,193,000",0,"4,261,000",0,"4,966,000",0,"5,155,000",0,"5,158,000"
1470,大統新創,115.06.25,115.06.30,除息,0,"11,000",0,"11,000",0,"11,000",0,"11,000",0,"11,000"
1472,三洋實業,115.06.23,115.06.26,除息,0,"65,111",0,"76,111",0,"76,111",0,"77,111",0,"77,111"
