股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
0052,富邦科技,115.04.14,115.04.17,分配收益,"48,000","28,979,000","67,000","35,316,000","79,000","35,956,000","114,000","36,687,000","154,000","37,780,000"
0056,元大高股息,115.04.17,115.04.22,分配收益,"117,000","232,591,000","108,000","239,375,000","107,000","240,720,000","111,000","236,655,000","114,000","231,589,000"
00685L,群益臺灣加權正2,115.04.08,115.04.13,受益人大會,0,"1,061,000",0,"1,622,000",0,"2,471,000","40,000","2,620,000","47,000","2,620,000"
00714,群益道瓊美國地產,115.04.14,115.04.17,分配收益,0,"392,000",0,"392,000",0,"392,000",0,"392,000",0,"392,000"
00717,富邦美國特別股,115.04.14,115.04.17,分配收益,0,"27,000",0,"27,000",0,"27,000",0,"27,000",0,"27,000"
00730,富邦臺灣優質高息,115.04.14,115.04.17,分配收益,0,"1,777,000",0,"1,777,000",0,"1,777,000",0,"1,785,000",0,"1,785,000"
00733,富邦臺灣中小,115.04.14,115.04.17,分配收益,0,"3,105,000",0,"3,181,000",0,"3,180,000",0,"3,180,000",0,"3,180,000"
00900,富邦特選高股息30,115.04.14,115.04.17,分配收益,"2,000","59,587,000","2,000","59,004,000","2,000","58,200,000","44,000","57,153,000","44,000","54,165,000"
00904,新光臺灣半導體30,115.04.13,115.04.16,分配收益,"3,000","2,082,000","3,000","2,058,000","3,000","1,455,000","3,000","1,426,000","3,000","1,589,000"
00905,FT臺灣Smart,115.04.14,115.04.17,分配收益,0,"1,341,000",0,"1,361,000",0,"1,361,000",0,"1,372,000",0,"1,372,000"
00907,永豐優息存股,115.04.17,115.04.22,分配收益,0,"264,000",0,"258,000",0,"249,000",0,"249,000",0,"249,000"
00908,富邦入息REITs+,115.04.14,115.04.17,分配收益,0,"944,000",0,"944,000",0,"944,000",0,"932,000",0,"932,000"
00909,國泰數位支付服務,115.04.14,115.04.17,分配收益,"49,000","4,006,000","50,000","4,033,000","62,000","4,121,000","32,000","4,082,000","31,000","5,191,000"
00912,中信臺灣智慧50,115.04.14,115.04.17,分配收益,0,"351,000",0,"351,000",0,"351,000",0,"364,000",0,"350,000"
00927,群益半導體收益,115.04.14,115.04.17,分配收益,"43,000","5,355,000","44,000","5,582,000","44,000","5,831,000","25,000","5,844,000",0,"5,616,000"
00929,復華台灣科技優息,115.04.15,115.04.20,分配收益,0,"49,957,000","1,000","48,749,000","1,000","48,505,000","3,000","57,752,000","6,000","57,565,000"
00934,中信成長高股息,115.04.14,115.04.17,分配收益,0,"5,017,000",0,"4,896,000",0,"4,712,000",0,"4,619,000",0,"4,442,000"
00936,台新永續高息中小,115.04.13,115.04.16,分配收益,0,"1,231,000",0,"1,231,000",0,"1,253,000",0,"1,275,000",0,"1,275,000"
00943,兆豐電子高息等權,115.04.14,115.04.17,分配收益,0,"617,000",0,"617,000",0,"617,000",0,"617,000",0,"617,000"
00944,野村趨勢動能高息,115.04.14,115.04.17,分配收益,0,"483,000",0,"483,000",0,"483,000",0,"483,000",0,"483,000"
00945B,凱基美國非投等債,115.04.14,115.04.17,分配收益,0,"10,725,000",0,"10,725,000",0,"10,338,000",0,"9,638,000",0,"8,501,000"
00947,台新臺灣IC設計,115.04.13,115.04.16,分配收益,"6,000","839,000","6,000","839,000","7,000","839,000","7,000","928,000","7,000","928,000"
00952,凱基台灣AI50,115.04.14,115.04.17,分配收益,0,"504,000",0,"510,000",0,"511,000",0,"551,000","9,000","557,000"
00956,中信日經高股息,115.04.14,115.04.17,分配收益,0,"1,491,000",0,"1,491,000",0,"1,491,000",0,"1,491,000",0,"1,491,000"
00960,野村全球航運龍頭,115.04.14,115.04.17,分配收益,0,"978,000","5,000","978,000","10,000","1,001,000","10,000","1,001,000","10,000","1,001,000"
00961,FT臺灣永續高息,115.04.14,115.04.17,分配收益,0,"2,247,000",0,"2,346,000",0,"2,364,000",0,"2,428,000",0,"2,469,000"
00962,台新AI優息動能,115.04.13,115.04.16,分配收益,0,"134,000",0,"134,000",0,"134,000",0,"134,000",0,"134,000"
00963,中信全球高股息,115.04.14,115.04.17,分配收益,0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000"
00964,中信亞太高股息,115.04.14,115.04.17,分配收益,0,"1,513,000",0,"1,521,000",0,"1,357,000",0,"1,362,000",0,"1,360,000"
009804,聯邦台精彩50,115.04.14,115.04.17,分配收益,0,"698,000",0,"693,000",0,"693,000",0,"663,000",0,"646,000"
00981T,平衡凱基雙核收息,115.04.14,115.04.17,分配收益,0,"394,000",0,"394,000",0,"394,000",0,"394,000",0,"394,000"
00982D,主動富邦動態入息,115.04.14,115.04.17,分配收益,0,"982,000",0,"982,000",0,"982,000",0,"942,000",0,"942,000"
00983D,主動富邦複合收益,115.04.14,115.04.17,分配收益,0,"1,224,000",0,"1,224,000",0,"1,224,000",0,"1,224,000",0,"1,224,000"
00984A,主動安聯台灣高息,115.04.14,115.04.17,分配收益,0,"6,677,000",0,"6,588,000",0,"6,578,000",0,"6,483,000",0,"6,242,000"
1109,信大,115.04.10,115.04.15,股東常會,0,"549,000",0,"547,000",0,"547,000",0,"545,000",0,"543,000"
1110,東泥,115.04.10,115.04.15,股東常會,0,"689,000",0,"689,000",0,"689,000",0,"683,000",0,"686,000"
1201,味全,115.04.17,115.04.22,股東常會,"33,000","2,479,000","33,000","2,453,000","33,000","2,357,000","42,000","2,319,000","42,000","2,325,000"
1203,味王,115.04.17,115.04.22,股東常會,0,"59,000",0,"80,000",0,"80,000",0,"81,000",0,"81,000"
1217,愛之味,115.04.20,115.04.23,股東常會,0,"5,819,000",0,"5,812,000",0,"6,123,000",0,"6,067,000",0,"6,060,000"
1217,愛之味,115.04.20,115.04.23,除息,0,"5,819,000",0,"5,812,000",0,"6,123,000",0,"6,067,000",0,"6,060,000"
1220,台榮,115.04.17,115.04.22,股東常會,0,"746,000",0,"741,000",0,"741,000",0,"735,000",0,"726,000"
1225,福懋油,115.04.20,115.04.23,股東常會,0,0,0,0,0,0,0,0,0,0
1227,佳格,115.04.10,115.04.15,股東常會,0,"12,527,000",0,"12,494,000",0,"12,478,000",0,"12,470,000",0,"12,458,000"
1231,聯華食,115.04.17,115.04.22,股東常會,"1,000","5,697,900","1,000","5,649,900","1,000","5,614,900","1,000","5,669,900","1,000","5,832,900"
1235,興泰,115.04.23,115.04.28,股東常會,0,"20,690",0,"20,690",0,"19,690",0,"18,690",0,"18,690"
1236,宏亞,115.04.10,115.04.15,股東常會,0,"135,000",0,"136,000",0,"136,000",0,"136,000",0,"135,000"
1315,達新,115.04.20,115.04.23,股東常會,0,"38,000",0,"38,000",0,"37,000",0,"37,000",0,"37,000"
1315,達新,115.04.20,115.04.23,除息,0,"38,000",0,"38,000",0,"37,000",0,"37,000",0,"37,000"
1316,上曜,115.04.17,115.04.22,股東常會,"29,000","14,756,461","30,000","15,030,461","30,000","15,000,461","30,000","15,028,461","24,000","15,453,461"
1319,東陽,115.04.10,115.04.15,股東常會,0,"25,929,094","57,000","25,313,854","60,000","24,490,854","44,000","24,122,854","46,000","23,595,854"
1325,恆大,115.04.20,115.04.23,股東常會,"23,000","1,629,000","27,000","1,625,000","36,000","1,593,000","38,000","1,720,000","41,000","1,701,000"
1414,東和,115.04.09,115.04.14,股東常會,0,"126,000",0,"132,000",0,"125,000",0,"124,000",0,"106,000"
1423,利華,115.04.10,115.04.15,股東常會,0,"78,000",0,"81,000",0,"81,000",0,"81,000",0,"81,000"
1434,福懋,115.04.20,115.04.23,股東常會,0,"7,277,000","1,000","7,278,000","1,000","7,334,000","1,000","7,129,000","1,000","7,243,000"
1435,中福,115.04.10,,股東常會,0,0,0,0,0,0,0,0,0,0
1438,三地開發,115.04.17,115.04.22,股東常會,0,"199,000","2,000","199,000","2,000","199,000","2,000","199,000","2,000","200,000"
1439,雋揚,115.04.10,115.04.15,股東常會,0,"88,000",0,"88,000",0,"87,000",0,"86,000",0,"86,000"
1449,佳和,115.04.17,115.04.22,股東常會,"75,000","2,477,199","130,000","2,459,199","109,000","2,454,199","60,000","2,322,199","29,000","2,319,199"
1451,年興,115.04.10,115.04.15,股東常會,0,"309,000",0,"309,000",0,"309,000","1,000","337,000","1,000","356,000"
1451,年興,115.04.10,115.04.15,除息,0,"309,000",0,"309,000",0,"309,000","1,000","337,000","1,000","356,000"
1455,集盛,115.04.09,115.04.14,股東常會,0,"4,437,000",0,"4,403,000",0,"4,368,000",0,"4,328,000",0,"4,336,000"
1463,強盛新,115.04.17,115.04.22,股東常會,0,"425,000",0,"422,000",0,"422,000",0,"421,000",0,"420,000"
1466,聚隆,115.04.10,115.04.15,股東常會,0,"902,000","5,000","896,000","5,000","898,000","66,000","895,000","64,000","891,000"
1470,大統新創,115.04.17,115.04.22,股東常會,0,"4,000",0,"4,000",0,"4,000",0,"3,000",0,"3,000"
1471,首利,115.04.17,,股東常會,0,0,0,0,0,0,0,0,0,0
1474,弘裕,115.04.17,115.04.22,股東常會,0,"253,000",0,"254,000",0,"254,000",0,"254,000",0,"253,000"
1475,業旺,115.04.09,115.04.14,除息,0,"107,000",0,"107,000",0,"107,000",0,"107,000",0,"108,000"
1503,士電,115.04.10,115.04.15,股東常會,0,"10,261,000","5,000","10,266,000","19,000","10,207,000","30,000","9,978,000","31,000","10,039,000"
1512,瑞利,115.04.17,,股東常會,0,0,0,0,0,0,0,0,0,0
1516,川飛,115.04.17,,股東常會,0,0,0,0,0,0,0,0,0,0
1517,利奇,115.04.17,115.04.22,股東常會,0,"1,920,000",0,"1,924,000",0,"1,931,000",0,"1,931,000",0,"1,931,000"
1522,堤維西,115.04.10,115.04.15,股東常會,0,"7,642,000","25,000","7,555,000","49,000","7,427,000","43,000","7,546,000","44,000","7,584,000"
1524,耿鼎,115.04.10,115.04.15,股東常會,0,"8,784,000",0,"8,950,000",0,"8,945,000","11,000","8,985,000","45,000","9,005,000"
1524,耿鼎,115.04.10,115.04.15,除息,0,"8,784,000",0,"8,950,000",0,"8,945,000","11,000","8,985,000","45,000","9,005,000"
1526,日馳,115.04.17,115.04.22,股東常會,0,"543,000",0,"543,000",0,"542,000",0,"541,000",0,"540,000"
1527,鑽全,115.04.09,115.04.14,股東常會,0,"2,396,000",0,"2,385,000",0,"2,326,000",0,"2,329,000",0,"2,328,000"
1531,高林股,115.04.20,115.04.23,股東常會,0,"398,000",0,"398,000",0,"398,000",0,"398,000",0,"398,000"
1532,勤美,115.04.17,115.04.22,股東常會,0,"3,586,000",0,"3,573,000",0,"3,537,000",0,"3,528,000",0,"3,536,000"
