股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00939,統一台灣高息動能,115.01.27,115.01.30,分配收益,0,"4,287,000",0,"4,441,000","1,000","4,441,000","1,000","4,441,000","1,000","4,440,000"
00940,元大台灣價值高息,115.01.27,115.01.30,分配收益,"25,000","15,299,000","39,000","15,299,000","23,000","15,299,000","23,000","15,296,000","23,000","15,293,000"
00946,群益科技高息成長,115.01.28,115.02.02,分配收益,0,"2,877,000",0,"2,907,000",0,"2,909,000",0,"2,909,000",0,"2,909,000"
00953B,群益優選非投等債,115.01.28,115.02.02,分配收益,0,"48,721,000",0,"48,161,000",0,"46,664,000",0,"46,227,000",0,"47,727,000"
00985B,群益ESG投等債0-5,115.01.28,115.02.02,分配收益,0,"768,000",0,"768,000",0,"768,000",0,"768,000",0,"768,000"
1432,大魯閣,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
2022,聚亨,115.03.20,,股東常會,0,"162,000",0,"162,000",0,"162,000",0,"162,000",0,"162,000"
2374,佳能,115.01.29,115.02.03,現金增資,"176,000","21,379,991","204,000","22,198,991","198,000","22,014,991","194,000","22,426,991","225,000","22,586,991"
3167,大量,115.03.06,115.03.11,股東常會,"677,000","3,515,000","690,000","3,550,000","707,000","3,530,000","645,000","3,498,000","679,000","3,482,000"
3189,景碩,115.01.20,115.01.23,現金增資,0,"5,507,826",0,"5,476,826","17,000","5,619,826","1,350,000","5,681,826","1,151,000","5,415,826"
5534,長虹,115.01.30,115.02.04,現金增資,"26,000","2,479,000","29,000","2,452,000","29,000","2,458,000","29,000","2,672,000","26,000","2,668,000"
6215,和椿,115.03.23,115.03.26,股東常會,"563,000","3,703,000","545,000","3,699,000","536,000","3,700,000","543,000","3,710,000","508,000","3,710,000"
6770,力積電,115.02.02,115.02.05,股東常會,"10,454,000","81,589,158","10,528,000","83,123,158","13,205,000","82,486,158","15,013,000","92,825,158","15,092,000","95,846,158"
8210,勤誠,115.03.23,115.03.26,股東常會,"224,000","1,117,000","217,000","1,117,000","213,000","1,106,000","213,000","1,074,000","214,000","1,073,000"
