股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.09.01,115.09.04,分配收益,"25,000","23,846,000","20,000","23,846,000","21,000","23,775,000","14,000","23,628,000","15,000","22,871,000"
00406A,主動中信台灣收益,115.08.27,115.09.01,分配收益,"38,000","19,743,000","24,000","19,588,000","55,000","18,026,000","164,000","16,836,000","184,000","13,048,000"
0053,元大電子,115.09.01,115.09.04,受益人大會,0,"96,000",0,"95,000",0,"77,000",0,"59,000",0,"57,000"
00939,統一台灣高息動能,115.08.26,115.08.31,分配收益,0,"3,450,000",0,"3,296,000",0,"3,171,000",0,"2,948,000",0,"2,839,000"
00940,元大台灣價值高息,115.09.02,115.09.07,分配收益,0,"12,669,000",0,"12,640,000",0,"12,640,000",0,"12,639,000",0,"12,619,000"
00946,群益科技高息成長,115.08.27,115.09.01,分配收益,0,"1,382,000",0,"1,382,000",0,"1,382,000",0,"1,382,000",0,"1,410,000"
00953B,群益優選非投等債,115.08.27,115.09.01,分配收益,0,"90,985,000",0,"90,835,000",0,"89,828,000",0,"81,302,000",0,"86,308,000"
00984D,主動聯博全球非投,115.08.26,115.08.31,分配收益,0,"29,266,000",0,"29,266,000",0,"29,266,000",0,"29,691,000",0,"32,691,000"
00985B,群益ESG投等債0-5,115.08.27,115.09.01,分配收益,0,"7,594,000",0,"7,594,000",0,"7,594,000",0,"7,594,000",0,"6,794,000"
1203,味王,115.08.28,115.09.02,除息,0,"49,000",0,"49,000",0,"49,000",0,"49,000",0,"49,000"
1438,三地開發,115.09.03,115.09.08,除權息,0,"188,000",0,"188,000",0,"188,000",0,"188,000",0,"188,000"
1453,大將,115.08.24,115.08.27,除權,0,"221,480",0,"221,480","1,000","221,480","1,000","221,480","1,000","219,480"
1466,聚隆,115.09.01,115.09.04,除息,"4,000","963,000","4,000","1,008,000","4,000","1,002,000","4,000","1,012,000","5,000","1,017,000"
1531,高林股,115.08.25,115.08.28,除息,0,"242,000","1,000","242,000","4,000","242,000","4,000","242,000","4,000","242,000"
1709,和益,115.08.24,115.08.27,除息,0,"1,859,000",0,"1,814,000","1,000","1,797,000","61,000","1,889,000","137,000","1,895,000"
