股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.07.03,115.07.08,分配收益,"59,000","13,068,000","58,000","13,048,000","59,000","13,048,000","165,000","10,163,000","50,000","9,280,000"
006208,富邦台50,115.07.10,115.07.15,分配收益,"16,000","8,677,000","17,000","8,652,000","22,000","8,652,000","25,000","7,868,000","19,000","7,868,000"
00692,富邦公司治理,115.07.10,115.07.15,分配收益,0,"4,227,000",0,"4,241,000",0,"4,241,000",0,"4,291,000",0,"4,286,000"
00730,富邦臺灣優質高息,115.07.10,115.07.15,分配收益,0,"1,056,000",0,"1,056,000",0,"1,056,000",0,"1,056,000",0,"1,056,000"
00892,富邦台灣半導體,115.07.10,115.07.15,分配收益,"1,000","3,225,000","2,000","3,225,000","2,000","3,225,000","3,000","3,225,000","1,000","3,225,000"
00900,富邦特選高股息30,115.07.10,115.07.15,分配收益,0,"43,676,000",0,"43,450,000",0,"43,227,000",0,"42,220,000",0,"41,116,000"
00927,群益半導體收益,115.07.10,115.07.15,分配收益,"65,000","9,797,000","45,000","7,493,000","45,000","6,997,000","52,000","5,937,000","54,000","4,751,000"
00940,元大台灣價值高息,115.07.03,115.07.08,分配收益,0,"22,545,000",0,"22,545,000",0,"22,545,000",0,"23,423,000",0,"36,809,000"
00943,兆豐電子高息等權,115.07.10,115.07.15,分配收益,0,"403,000",0,"403,000",0,"403,000",0,"403,000",0,"403,000"
00944,野村趨勢動能高息,115.07.10,115.07.15,分配收益,0,"432,000",0,"432,000",0,"432,000",0,"660,000",0,"660,000"
00946,群益科技高息成長,115.06.30,115.07.03,分配收益,0,"1,311,000",0,"1,300,000",0,"1,300,000",0,"1,300,000",0,"1,300,000"
00953B,群益優選非投等債,115.06.30,115.07.03,分配收益,0,"67,807,000",0,"67,367,000",0,"67,367,000",0,"67,367,000",0,"67,367,000"
00985B,群益ESG投等債0-5,115.06.30,115.07.03,分配收益,0,"5,813,000",0,"5,822,000",0,"5,822,000",0,"5,822,000",0,"5,972,000"
00992A,主動群益科技創新,115.07.10,115.07.15,分配收益,"336,000","33,616,000","385,000","33,731,000","337,000","33,731,000","395,000","33,772,000","461,000","33,779,000"
00997A,主動群益美國增長,115.06.30,115.07.03,分配收益,0,"15,949,000",0,"15,969,000","3,000","15,969,000","22,000","14,153,000","11,000","14,552,000"
1102,亞泥,115.07.10,115.07.15,除息,"5,000","49,076,395","9,000","49,699,395","28,000","52,793,395","13,000","50,231,395","15,000","49,666,395"
1109,信大,115.07.10,115.07.15,除息,"1,000","615,000","1,000","607,000","1,000","620,000","1,000","613,000","1,000","613,000"
1110,東泥,115.07.03,115.07.08,除息,0,"902,000",0,"917,000",0,"912,000",0,"953,000",0,"944,000"
