股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
0050,元大台灣50,115.01.16,115.01.21,分配收益,"590,000","152,615,000","814,000","151,795,000","1,066,000","151,168,000","1,196,000","151,411,000","1,287,000","149,499,000"
0056,元大高股息,115.01.16,115.01.21,分配收益,"55,000","241,234,000","54,000","243,126,000","59,000","242,064,000","70,000","255,757,000","60,000","257,757,000"
006203,元大MSCI台灣,115.01.16,115.01.21,分配收益,0,0,0,0,0,"5,000",0,"5,000",0,"5,000"
00701,國泰股利精選30,115.01.14,115.01.19,分配收益,0,"2,211,000",0,"2,211,000",0,"2,071,000",0,"2,329,000",0,"2,329,000"
00702,國泰標普低波高息,115.01.14,115.01.19,分配收益,0,"1,000",0,"1,000",0,"1,000",0,"1,000",0,"1,000"
00714,群益道瓊美國地產,115.01.14,115.01.19,分配收益,0,"392,000",0,"392,000",0,"392,000",0,"392,000",0,"392,000"
00717,富邦美國特別股,115.01.14,115.01.19,分配收益,0,"27,000",0,"27,000",0,"27,000",0,"27,000",0,"27,000"
00730,富邦臺灣優質高息,115.01.14,115.01.19,分配收益,0,"1,246,000",0,"1,246,000",0,"1,596,000",0,"1,611,000",0,"1,611,000"
00735,國泰臺韓科技,115.01.14,115.01.19,分配收益,0,"236,000",0,"236,000",0,"249,000",0,"169,000",0,"169,000"
00736,國泰新興市場,115.01.14,115.01.19,分配收益,0,"53,000",0,"53,000",0,"53,000",0,"53,000",0,"53,000"
00770,國泰北美科技,115.01.14,115.01.19,分配收益,0,"2,258,000",0,"2,144,000",0,"2,149,000",0,"2,152,000",0,"1,994,000"
00830,國泰費城半導體,115.01.14,115.01.19,分配收益,0,"14,519,000","1,000","14,908,000","140,000","15,642,000","311,000","19,615,000","319,000","19,732,000"
00881,國泰台灣科技龍頭,115.01.14,115.01.19,分配收益,0,"45,513,000","1,000","40,650,000","17,000","39,954,000","16,000","41,587,000","20,000","41,476,000"
00882,中信中國高股息,115.01.13,115.01.16,分配收益,0,"7,933,000",0,"11,913,000","3,000","11,913,000","4,000","11,913,000","5,000","11,913,000"
00900,富邦特選高股息30,115.01.14,115.01.19,分配收益,0,"39,378,000",0,"39,968,000","4,000","40,351,000","4,000","40,623,000","4,000","42,223,000"
00905,FT臺灣Smart,115.01.13,115.01.16,分配收益,0,"2,389,000",0,"2,248,000",0,"2,258,000",0,"1,999,000",0,"1,969,000"
00908,富邦入息REITs+,115.01.14,115.01.19,分配收益,0,"1,049,000",0,"1,049,000",0,"1,049,000",0,"1,041,000",0,"1,041,000"
00911,兆豐洲際半導體,115.01.13,115.01.16,分配收益,0,"65,000",0,"65,000",0,"65,000",0,"65,000",0,"65,000"
00912,中信臺灣智慧50,115.01.13,115.01.16,分配收益,0,"966,000",0,"966,000",0,"966,000",0,"966,000",0,"966,000"
00917,中信特選金融,115.01.13,115.01.16,分配收益,0,"3,023,000",0,"2,660,000","170,000","2,323,000","274,000","1,978,000","96,000","1,610,000"
00927,群益半導體收益,115.01.13,115.01.16,分配收益,0,"5,549,000",0,"4,919,000",0,"4,421,000","3,000","4,421,000","6,000","3,835,000"
00929,復華台灣科技優息,115.01.14,115.01.19,分配收益,0,"41,392,000",0,"41,386,000","15,000","41,381,000",0,"41,381,000",0,"40,238,000"
00930,永豐ESG低碳高息,115.01.14,115.01.19,分配收益,0,"2,250,000",0,"2,250,000",0,"2,250,000",0,"2,250,000",0,"2,250,000"
00934,中信成長高股息,115.01.13,115.01.16,分配收益,0,"161,000",0,"161,000",0,"161,000",0,"160,000",0,"160,000"
00943,兆豐電子高息等權,115.01.13,115.01.16,分配收益,0,"689,000",0,"689,000",0,"689,000",0,"689,000",0,"689,000"
00944,野村趨勢動能高息,115.01.13,115.01.16,分配收益,0,"626,000",0,"626,000",0,"626,000",0,"626,000",0,"626,000"
00945B,凱基美國非投等債,115.01.14,115.01.19,分配收益,0,"6,505,000",0,"6,505,000",0,"6,505,000",0,"6,625,000",0,"6,625,000"
00952,凱基台灣AI50,115.01.13,115.01.16,分配收益,0,"347,000",0,"347,000",0,"372,000",0,"372,000",0,"372,000"
00956,中信日經高股息,115.01.13,115.01.16,分配收益,0,"616,000",0,"616,000",0,"616,000",0,"616,000",0,"616,000"
00960,野村全球航運龍頭,115.01.13,115.01.16,分配收益,0,"198,000",0,"198,000",0,"198,000",0,"198,000","10,000","198,000"
00961,FT臺灣永續高息,115.01.13,115.01.16,分配收益,0,"2,193,000",0,"2,193,000",0,"2,453,000",0,"2,453,000",0,"2,458,000"
00963,中信全球高股息,115.01.13,115.01.16,分配收益,0,"2,353,000",0,"2,353,000",0,"2,353,000",0,"2,353,000",0,"2,353,000"
00964,中信亞太高股息,115.01.13,115.01.16,分配收益,0,"430,000",0,"430,000",0,"430,000",0,"430,000",0,"430,000"
00981T,平衡凱基雙核收息,115.01.14,115.01.19,分配收益,0,"384,000",0,"384,000",0,"384,000",0,"384,000",0,"384,000"
00982D,主動富邦動態入息,115.01.14,115.01.19,分配收益,0,"442,000",0,"442,000",0,"314,000",0,"314,000",0,"314,000"
00983D,主動富邦複合收益,115.01.14,115.01.19,分配收益,0,"1,419,000",0,"1,419,000",0,"1,419,000",0,"1,419,000",0,"1,419,000"
00984A,主動安聯台灣高息,115.01.13,115.01.16,分配收益,0,"6,037,000",0,"5,865,000",0,"5,811,000",0,"5,848,000",0,"5,848,000"
1437,勤益控,115.01.16,115.01.21,除息,0,"377,000",0,"387,000",0,"396,000",0,"396,000",0,"386,000"
3189,景碩,115.01.20,115.01.23,現金增資,"715,000","5,173,826","786,000","4,500,826","988,000","4,680,826","1,150,000","4,661,826","959,000","4,569,826"
6215,和椿,115.03.23,115.03.26,股東常會,"465,000","3,742,000","458,000","3,744,000","416,000","3,771,000","420,000","3,771,000","402,000","3,798,000"
