股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.07.03,115.07.08,分配收益,"54,000","9,299,000","45,000","9,342,000","192,000","9,350,000","91,000","8,844,000","87,000","8,829,000"
00685L,群益臺灣加權正2,115.06.25,115.06.30,ETF分割,"48,000","148,000","51,000","347,000","60,000","1,439,000","56,000","1,681,000","95,000","3,362,000"
00939,統一台灣高息動能,115.06.26,115.07.01,分配收益,0,"3,519,000",0,"4,504,000",0,"5,415,000",0,"8,021,000",0,"10,237,000"
00946,群益科技高息成長,115.06.30,115.07.03,分配收益,0,"1,358,000",0,"2,031,000",0,"3,436,000",0,"3,436,000",0,"3,436,000"
00953B,群益優選非投等債,115.06.30,115.07.03,分配收益,0,"74,687,000",0,"74,687,000",0,"74,687,000",0,"74,692,000",0,"74,692,000"
00984D,主動聯博全球非投,115.06.26,115.07.01,分配收益,0,"10,028,000",0,"10,028,000",0,"10,028,000",0,"8,031,000",0,"8,070,000"
00985B,群益ESG投等債0-5,115.06.30,115.07.03,分配收益,0,"5,972,000",0,"5,972,000",0,"5,972,000",0,"5,973,000",0,"5,973,000"
00997A,主動群益美國增長,115.06.30,115.07.03,分配收益,"27,000","6,850,000","31,000","6,850,000","31,000","6,850,000","24,000","6,319,000","16,000","6,319,000"
1101,台泥,115.06.25,115.06.30,除息,"54,000","530,307,087","57,000","523,221,087","63,000","521,539,565","68,000","517,224,565","73,000","503,215,565"
1102,亞泥,115.07.10,115.07.15,除息,"6,000","51,883,395","4,000","49,881,395","4,000","50,777,395","4,000","49,051,395","4,000","48,288,395"
1233,天仁,115.07.15,115.07.20,除息,0,"105,000",0,"114,000",0,"114,000",0,"115,000",0,"114,000"
1234,黑松,115.06.23,115.06.26,除息,0,"1,235,000",0,"1,229,000",0,"1,232,000",0,"1,223,000",0,"1,230,000"
1256,鮮活果汁-KY,115.07.03,115.07.08,除息,0,"258,000",0,"247,000",0,"256,000",0,"255,000",0,"251,000"
1301,台塑,115.06.24,115.06.29,除息,"61,000","108,510,138","119,000","132,491,138","204,000","146,914,277","270,000","143,978,277","276,000","149,869,277"
1303,南亞,115.07.02,115.07.07,除息,"5,314,000","4,547,340","4,774,000","5,034,340","4,849,000","5,062,340","4,797,000","4,132,340","3,716,000","3,581,340"
1307,三芳,115.06.30,115.07.03,除息,0,"6,496,000",0,"6,501,000",0,"6,698,000",0,"6,762,000",0,"6,848,000"
1338,廣華-KY,115.07.03,115.07.08,除息,0,"396,000",0,"392,000",0,"395,000",0,"391,000",0,"395,000"
1342,八貫,115.06.26,115.07.01,現金增資,0,"829,000","1,000","828,000","1,000","861,000","1,000","862,000","6,000","867,000"
1402,遠東新,115.07.08,115.07.13,除息,"141,000","37,561,000","141,000","41,191,000","141,000","41,198,000","117,000","42,103,000","111,000","46,847,000"
1410,南染,115.06.24,115.06.29,除息,0,"101,000",0,"104,000",0,"120,000",0,"120,000",0,"132,000"
1440,南紡,115.07.10,115.07.15,除息,"1,000","19,672,000","1,000","20,138,000","1,000","20,260,000","101,000","19,613,000","105,000","19,811,000"
1452,宏益,115.06.26,115.07.01,除息,0,"336,000",0,"340,000",0,"340,000",0,"340,000",0,"397,000"
1455,集盛,115.06.29,115.07.02,除息,0,"4,125,000",0,"4,193,000",0,"4,261,000",0,"4,966,000",0,"5,158,000"
1470,大統新創,115.06.25,115.06.30,除息,0,"11,000",0,"11,000",0,"11,000",0,"11,000",0,"11,000"
1472,三洋實業,115.06.23,115.06.26,除息,0,"55,236",0,"65,111",0,"76,111",0,"76,111",0,"77,111"
1513,中興電,115.07.03,115.07.08,除息,"69,000","37,444,000","67,000","35,984,000","62,000","35,512,000","47,000","34,539,000","46,000","34,434,000"
1521,大億,115.06.24,115.06.29,除息,0,"142,000",0,"142,000",0,"143,000",0,"143,000",0,"153,000"
1525,江申,115.06.18,115.06.24,除息,0,"68,000",0,"68,000",0,"68,000",0,"68,000",0,"77,000"
1535,中宇,115.07.15,115.07.20,除息,0,"350,000",0,"353,000",0,"358,000",0,"357,000",0,"353,000"
1558,伸興,115.07.17,115.07.22,除息,0,"387,287",0,"386,287",0,"385,287",0,"440,287",0,"437,287"
1590,亞德客-KY,115.07.17,115.07.22,除息,"1,000","632,000","1,000","650,000","1,000","624,000","1,000","487,000","1,000","419,000"
1598,岱宇,115.06.24,115.06.29,除息,0,"1,707,898","3,000","1,888,898","3,000","1,927,898","3,000","1,930,898","3,000","2,551,898"
1612,宏泰,115.06.26,115.07.01,除息,0,"2,185,000",0,"2,914,000",0,"3,013,000",0,"3,025,000",0,"3,154,000"
1618,合機,115.08.11,115.08.14,除息,"16,000","4,071,000","16,000","4,101,000","16,000","4,087,000","16,000","4,116,000","16,000","4,549,000"
1717,長興,115.06.23,115.06.26,現金增資,0,"59,788,000","76,000","60,045,000","100,000","60,710,000","170,000","61,358,000","233,000","59,849,000"
1723,中碳,115.07.03,115.07.08,除息,"6,000","7,880,000","6,000","7,889,000","6,000","8,307,000","8,000","8,642,000","9,000","8,916,000"
1725,元禎,115.06.25,115.06.30,除息,"1,000","145,000",0,"178,000",0,"221,000",0,"221,000",0,"239,000"
1726,永記,115.07.15,115.07.20,除息,0,"84,000",0,"85,000",0,"84,000",0,"85,000",0,"84,000"
1727,中華化,115.06.24,115.06.29,除息,"146,000","3,851,000","230,000","4,064,000","235,000","4,408,000","267,000","4,608,000","222,000","4,695,000"
1730,花仙子,115.06.29,115.07.02,除息,0,"102,000",0,"102,000",0,"103,000",0,"103,000",0,"102,000"
1731,美吾華,115.06.24,115.06.29,除息,0,"447,000",0,"447,000",0,"452,000",0,"452,000",0,"472,000"
1752,南光,115.06.26,115.07.01,除息,0,"269,000",0,"279,000",0,"278,000",0,"278,000",0,"279,000"
1789,神隆,115.06.26,115.07.01,除息,0,"8,992,148",0,"9,034,148",0,"9,166,000",0,"9,082,000",0,"9,078,000"
1817,凱撒衛,115.06.24,115.06.29,除息,0,"111,000",0,"189,000",0,"189,000",0,"195,000",0,"195,000"
1907,永豐餘,115.07.07,115.07.10,除息,0,"14,783,000",0,"15,189,000","29,000","15,212,000","31,000","14,773,000",0,"14,581,000"
2002,中鋼,115.07.20,115.07.23,除息,"664,000","698,571,211","673,000","794,728,820","679,000","809,682,211","669,000","806,844,211","667,000","806,344,550"
2010,春源,115.06.26,115.07.01,除息,0,"3,431,000",0,"3,586,000",0,"3,550,000",0,"3,705,000",0,"3,943,000"
2013,中鋼構,115.06.29,115.07.02,除息,0,"378,000",0,"395,000",0,"395,000",0,"403,000",0,"459,000"
2029,盛餘,115.07.08,115.07.13,除息,0,"807,000",0,"808,000",0,"806,000",0,"800,000",0,"899,000"
2302,麗正,115.06.25,115.06.30,除息,"235,000","1,169,000","114,000","1,169,000","89,000","1,169,000","57,000","1,169,000","39,000","1,316,000"
2317,鴻海,115.06.26,115.07.01,除息,"365,000","65,030,461","474,000","64,332,409","562,000","62,196,409","594,000","61,746,409","606,000","57,864,062"
2328,廣宇,115.06.24,115.06.29,除息,"5,000","33,881,000","36,000","34,268,000","47,000","36,784,000","116,000","37,882,000","141,000","37,401,000"
2354,鴻準,115.06.26,115.07.01,除息,"25,000","76,062,000","37,000","75,682,000","29,000","76,374,000","28,000","76,868,000","43,000","76,997,000"
2357,華碩,115.06.25,115.06.30,除息,"20,000","50,113,337","19,000","49,628,446","21,000","50,444,866","82,000","49,911,614","82,000","49,925,194"
2359,所羅門,115.07.07,115.07.10,除息,"501,000","9,976,000","493,000","10,228,000","505,000","10,276,000","495,000","10,236,000","497,000","10,039,000"
2362,藍天,115.06.18,115.06.24,除息,0,"9,420,000",0,"9,227,000",0,"9,214,000",0,"9,105,000","1,000","8,753,000"
2373,震旦行,115.06.30,115.07.03,除息,0,"108,000",0,"120,000",0,"120,000",0,"120,000",0,"120,000"
2376,技嘉,115.07.28,115.07.31,除息,"361,000","46,254,000","361,000","45,773,000","337,000","46,155,000","339,000","47,081,000","337,000","51,119,000"
2397,友通,115.06.24,115.06.29,除息,0,"276,000",0,"663,000",0,"663,000",0,"665,000",0,"664,000"
2404,漢唐,115.07.10,115.07.15,除息,"23,000","4,823,036","24,000","4,715,036","24,000","5,694,036","30,000","5,672,036","48,000","5,660,036"
2405,輔信,115.07.02,115.07.07,除息,"51,000","11,905,000","63,000","11,974,000","63,000","13,297,000","72,000","13,624,000","61,000","14,201,000"
2408,南亞科,115.07.01,115.07.06,除息,"2,258,000","21,356,771","2,392,000","24,747,771","2,168,000","29,415,151","1,988,000","34,014,418","1,456,000","36,244,418"
2412,中華電,115.07.03,115.07.08,除息,"15,000","48,705,792","16,000","50,039,792","16,000","50,566,792","16,000","50,047,792","18,000","50,149,792"
2417,圓剛,115.07.01,115.07.06,除息,"16,000","2,754,536","14,000","2,744,536","14,000","2,765,536","15,000","2,758,536","17,000","2,834,536"
2425,承啟,115.06.29,115.07.02,除息,"12,000","1,082,000","11,000","1,072,000","14,000","1,120,000","34,000","1,262,000","27,000","1,229,000"
2432,倚天酷碁-創,115.06.18,115.06.24,除息,0,"62,000",0,"62,000",0,"62,000",0,"62,000",0,"62,000"
2433,互盛電,115.06.26,115.07.01,除息,0,"210,000",0,"218,000",0,"218,000",0,"222,000",0,"221,000"
2436,偉詮電,115.06.24,115.06.29,除息,"30,000","10,531,000","58,000","11,856,000","167,000","11,900,000","390,000","12,743,000","509,000","12,877,000"
2451,創見,115.06.18,115.06.24,除息,0,"12,366,000",0,"11,429,000",0,"11,404,000","14,000","11,354,000","25,000","11,749,000"
2453,凌群,115.07.03,115.07.08,除息,"2,000","2,636,000","2,000","2,668,000","2,000","2,661,000","2,000","2,657,000","2,000","2,674,000"
2455,全新,115.06.22,115.06.25,除息,0,"5,130,000","28,000","5,270,000","234,000","5,666,000","336,000","5,899,000","46,000","6,003,000"
2462,良得電,115.06.26,115.07.01,除息,"2,000","1,415,970","2,000","1,770,970","2,000","1,761,970","2,000","1,771,970","2,000","1,952,970"
