股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00631L,元大台灣50正2,115.03.19,115.03.24,ETF分割,"562,000","1,251,000","516,000","1,131,000","512,000","1,018,000","529,000","1,618,000","569,000","1,629,000"
00690,兆豐藍籌30,115.02.11,115.02.25,分配收益,0,"225,000",0,"225,000",0,"225,000",0,"225,000",0,"225,000"
00730,富邦臺灣優質高息,115.02.10,115.02.24,分配收益,0,"1,594,000",0,"1,594,000",0,"1,594,000",0,"1,417,000",0,"1,417,000"
00731,復華富時高息低波,115.02.24,115.03.02,分配收益,0,"383,000",0,"383,000",0,"383,000",0,"383,000",0,"383,000"
00771,元大US高息特別股,115.02.11,115.02.25,分配收益,0,"50,000",0,"50,000",0,"50,000",0,"50,000",0,"50,000"
00775B,新光投等債15+,115.02.10,115.02.24,分配收益,0,0,0,0,0,0,0,0,0,0
00850,元大臺灣ESG永續,115.02.11,115.02.25,分配收益,0,"3,209,000",0,"3,201,000",0,"3,204,000",0,"3,211,000",0,"3,211,000"
00878,國泰永續高股息,115.02.11,115.02.25,分配收益,0,"109,948,000",0,"107,647,000","28,000","108,192,000","30,000","111,832,000","51,000","110,578,000"
00891,中信關鍵半導體,115.02.11,115.02.25,分配收益,0,"6,110,000",0,"4,585,000","20,000","9,710,000","20,000","10,848,000","26,000","10,848,000"
00894,中信小資高價30,115.02.11,115.02.25,分配收益,0,"1,896,000",0,"1,896,000","2,000","1,896,000","5,000","1,896,000","7,000","1,896,000"
00900,富邦特選高股息30,115.02.10,115.02.24,分配收益,0,"35,129,000",0,"35,120,000",0,"34,882,000","4,000","34,507,000","4,000","35,860,000"
00907,永豐優息存股,115.02.10,115.02.24,分配收益,0,"249,000",0,"249,000",0,"249,000",0,"249,000",0,"249,000"
00913,兆豐台灣晶圓製造,115.02.11,115.02.25,分配收益,0,"47,000",0,"47,000",0,"47,000",0,"47,000",0,"12,000"
00923,群益台ESG低碳50,115.02.11,115.02.25,分配收益,0,"4,786,000",0,"4,579,000",0,"4,683,000",0,"4,544,000","4,000","3,760,000"
00929,復華台灣科技優息,115.02.24,115.03.02,分配收益,0,"49,180,000",0,"48,825,000",0,"43,354,000",0,"46,407,000","12,000","46,101,000"
00932,兆豐永續高息等權,115.02.11,115.02.25,分配收益,0,"257,000",0,"257,000",0,"257,000",0,"257,000",0,"257,000"
00934,中信成長高股息,115.02.11,115.02.25,分配收益,0,"654,000",0,"649,000",0,"448,000",0,"249,000",0,"249,000"
00936,台新永續高息中小,115.02.10,115.02.24,分配收益,0,"1,404,000",0,"1,404,000",0,"1,404,000",0,"1,404,000",0,"1,404,000"
00938,凱基優選30,115.02.11,115.02.25,分配收益,0,"213,000",0,"213,000",0,"213,000",0,"173,000",0,"173,000"
00943,兆豐電子高息等權,115.02.11,115.02.25,分配收益,0,"617,000",0,"617,000",0,"617,000",0,"617,000",0,"617,000"
00944,野村趨勢動能高息,115.02.11,115.02.25,分配收益,0,"483,000",0,"483,000",0,"451,000",0,"451,000",0,"451,000"
00945B,凱基美國非投等債,115.02.11,115.02.25,分配收益,0,"6,692,000",0,"6,692,000",0,"6,692,000",0,"6,692,000",0,"6,692,000"
00952,凱基台灣AI50,115.02.11,115.02.25,分配收益,0,"367,000",0,"360,000",0,"360,000",0,"369,000",0,"369,000"
00961,FT臺灣永續高息,115.02.11,115.02.25,分配收益,0,"1,814,000",0,"1,814,000",0,"1,814,000",0,"2,193,000",0,"2,193,000"
00962,台新AI優息動能,115.02.10,115.02.24,分配收益,0,"144,000",0,"144,000",0,"144,000",0,"144,000",0,"144,000"
00963,中信全球高股息,115.02.11,115.02.25,分配收益,0,"2,353,000",0,"2,353,000",0,"2,353,000",0,"2,353,000",0,"2,353,000"
00964,中信亞太高股息,115.02.11,115.02.25,分配收益,0,"797,000",0,"797,000",0,"525,000",0,"525,000",0,"525,000"
009808,華南永昌優選50,115.02.11,115.02.25,分配收益,0,"192,000",0,"192,000",0,"192,000",0,"192,000",0,"192,000"
00980A,主動野村臺灣優選,115.02.11,115.02.25,分配收益,0,"3,401,000",0,"3,425,000",0,"4,302,000",0,"6,171,000",0,"6,171,000"
00981T,平衡凱基雙核收息,115.02.11,115.02.25,分配收益,0,"4,159,000",0,"4,159,000",0,"4,160,000",0,"4,646,000",0,"4,637,000"
00982A,主動群益台灣強棒,115.02.11,115.02.25,分配收益,0,"8,623,000",0,"9,437,000",0,"10,740,000",0,"16,861,000",0,"16,846,000"
00982D,主動富邦動態入息,115.02.10,115.02.24,分配收益,0,"442,000",0,"442,000",0,"442,000",0,"442,000",0,"442,000"
00983D,主動富邦複合收益,115.02.10,115.02.24,分配收益,0,"844,000",0,"844,000",0,"844,000",0,"844,000",0,"1,432,000"
1409,新纖,115.03.20,115.03.25,股東常會,"94,000","14,954,000","94,000","14,955,000","94,000","14,921,000","94,000","15,457,000","94,000","15,400,000"
1416,廣豐,115.03.16,115.03.19,股東常會,0,"399,000",0,"399,000",0,"399,000",0,"405,000",0,"405,000"
1432,大魯閣,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
1476,儒鴻,115.03.23,115.03.26,股東常會,"3,000","9,250,826","15,000","9,187,826","15,000","9,110,826","17,000","9,092,826","17,000","9,020,826"
1590,亞德客-KY,115.03.06,115.03.11,股東常會,"1,000","503,360","1,000","492,360","1,000","672,360","1,000","713,360","1,000","797,360"
1711,永光,115.03.20,115.03.25,股東常會,"426,000","30,111,000","238,000","30,038,000","814,000","30,141,000","860,000","29,615,000","581,000","29,301,000"
1733,五鼎,115.03.16,115.03.19,股東常會,"6,000","1,417,000","6,000","1,417,000","6,000","1,410,000","6,000","1,431,000","6,000","1,429,000"
2006,東和鋼鐵,115.03.16,115.03.19,股東常會,"3,000","7,172,146","3,000","7,252,146","3,000","7,251,146","3,000","7,602,146","3,000","7,602,146"
2022,聚亨,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
