股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00939,統一台灣高息動能,114.12.26,114.12.31,分配收益,"1,000","2,447,000","1,000","2,440,000","1,000","2,440,000","1,000","2,440,000","1,000","2,440,000"
00940,元大台灣價值高息,115.01.02,115.01.07,分配收益,"5,000","15,498,000","5,000","15,498,000","10,000","15,498,000","10,000","15,498,000","77,000","15,498,000"
00946,群益科技高息成長,114.12.30,115.01.05,分配收益,0,"7,831,000",0,"7,792,000",0,"7,786,000",0,"7,786,000",0,"8,488,000"
00953B,群益優選非投等債,114.12.30,115.01.05,分配收益,0,"52,878,000","40,000","52,878,000",0,"52,878,000",0,"52,385,000",0,"54,688,000"
00985B,群益ESG投等債0-5,114.12.30,115.01.05,分配收益,0,"768,000",0,"768,000",0,"768,000",0,"799,000",0,"1,489,000"
1414,東和,114.12.24,114.12.30,減資,0,0,0,0,0,0,0,"174,000",0,"185,000"
1707,葡萄王,115.01.02,115.01.07,除息,0,"1,120,000",0,"1,120,000",0,"1,120,000",0,"1,119,000",0,"1,146,000"
2247,汎德永業,115.01.02,115.01.07,除息,"2,000","1,311,000","2,000","1,306,000","2,000","1,296,000","2,000","1,284,000","2,000","1,283,000"
2442,新美齊,114.12.30,115.01.05,現金增資,"14,000","7,450,725","34,000","7,546,725","42,000","7,535,725","45,000","7,623,725","50,000","7,568,725"
2454,聯發科,114.12.30,115.01.05,除息,"49,000","3,935,900","53,000","3,555,900","62,000","3,430,900","77,000","3,402,900","101,000","3,294,200"
4104,佳醫,115.01.02,115.01.07,現金增資,0,"982,850",0,"982,850",0,"982,850",0,"982,850",0,"982,850"
4737,華廣,115.01.02,115.01.07,現金增資,0,"380,422",0,"382,422",0,"389,422",0,"396,422",0,"413,205"
