股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00946,群益科技高息成長,115.01.28,115.02.02,分配收益,0,"2,827,000",0,"2,827,000",0,"2,827,000",0,"2,827,000",0,"2,877,000"
00953B,群益優選非投等債,115.01.28,115.02.02,分配收益,0,"70,749,000",0,"65,190,000",0,"61,979,000",0,"48,721,000",0,"48,721,000"
00985B,群益ESG投等債0-5,115.01.28,115.02.02,分配收益,0,"768,000",0,"768,000",0,"768,000",0,"768,000",0,"768,000"
1409,新纖,115.03.20,115.03.25,股東常會,"94,000","15,520,000","96,000","15,311,000","97,000","15,065,000","96,000","15,396,000","97,000","15,441,000"
1432,大魯閣,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
1476,儒鴻,115.03.23,115.03.26,股東常會,"17,000","8,798,826","4,000","8,761,826","4,000","8,820,000","4,000","8,783,000","4,000","9,213,000"
1711,永光,115.03.20,115.03.25,股東常會,"147,000","25,824,000","155,000","26,002,000","171,000","26,269,000","159,000","28,008,000","177,000","27,698,000"
2006,東和鋼鐵,115.03.16,115.03.19,股東常會,0,"7,738,146","1,000","7,622,146","1,000","7,485,146","1,000","7,439,146","1,000","7,386,146"
2022,聚亨,115.03.20,,股東常會,0,"162,000",0,"162,000",0,"162,000",0,"162,000",0,"162,000"
2211,長榮鋼,115.03.20,115.03.25,股東常會,"7,000","4,802,000","7,000","4,752,000","8,000","4,803,000","8,000","5,198,000","8,000","5,141,000"
2338,光罩,115.02.03,115.02.06,現金增資,"221,000","9,593,000","246,000","9,420,000","224,000","9,371,000","255,000","9,844,000","244,000","9,879,000"
2374,佳能,115.01.29,115.02.03,現金增資,0,"19,738,101","3,000","19,355,101","96,000","19,521,549","119,000","20,207,549","112,000","20,176,549"
2421,建準,115.02.09,115.02.23,現金增資,"88,000","5,951,000","103,000","5,984,000","90,000","6,045,000","98,000","5,970,000","98,000","5,927,000"
2603,長榮,115.03.20,115.03.25,股東常會,"263,000","121,152,116","274,000","119,646,116","272,000","119,457,116","274,000","121,505,116","291,000","121,638,116"
3024,憶聲,115.03.06,115.03.11,股東常會,0,"3,463,000",0,"3,406,000",0,"3,471,000",0,"3,489,000","10,000","3,448,000"
3036,文曄,115.03.06,115.03.11,股東常會,"27,000","27,253,725","36,000","27,159,725","46,000","26,757,725","83,000","26,558,725","193,000","27,326,725"
3167,大量,115.03.06,115.03.11,股東常會,"524,000","3,362,000","601,000","3,448,000","624,000","3,480,000","658,000","3,514,000","689,000","3,529,000"
5534,長虹,115.01.30,115.02.04,現金增資,0,"2,604,000","25,000","2,604,000","25,000","2,584,000","26,000","2,530,000","26,000","2,491,000"
6215,和椿,115.03.23,115.03.26,股東常會,"496,000","3,621,000","508,000","3,684,000","535,000","3,639,000","530,000","3,639,000","541,000","3,708,000"
6770,力積電,115.02.02,115.02.05,股東常會,"4,922,000","78,964,158","6,324,000","82,118,158","8,589,000","75,550,158","7,834,000","80,751,158","8,494,000","79,155,158"
8210,勤誠,115.03.23,115.03.26,股東常會,"159,000","756,000","190,000","719,000","207,000","704,000","215,000","704,000","223,000","702,000"
8454,富邦媒,115.03.20,115.03.25,股東常會,"20,000","6,976,150","19,000","6,864,150","29,000","6,773,150","29,000","6,783,150","29,000","6,791,150"
