股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
0052,富邦科技,115.04.14,115.04.17,分配收益,"154,000","37,780,000","158,000","42,018,000","159,000","43,702,000","149,000","44,355,000","145,000","44,184,000"
0056,元大高股息,115.04.17,115.04.22,分配收益,"114,000","231,589,000","116,000","220,714,000","362,000","218,501,000","305,000","212,248,000","125,000","210,740,000"
00674R,期元大S&P黃金反1,115.04.09,,ETF反分割,0,0,0,0,0,0,0,0,0,0
00685L,群益臺灣加權正2,115.04.08,115.04.13,受益人大會,"47,000","2,620,000","68,000","2,824,000","59,000","2,824,000","83,000","2,819,000","83,000","2,819,000"
00714,群益道瓊美國地產,115.04.14,115.04.17,分配收益,0,"392,000",0,"392,000",0,"392,000",0,"392,000",0,"392,000"
00717,富邦美國特別股,115.04.14,115.04.17,分配收益,0,"27,000",0,"27,000",0,"27,000",0,"27,000",0,"27,000"
00730,富邦臺灣優質高息,115.04.14,115.04.17,分配收益,0,"1,785,000",0,"1,785,000",0,"1,785,000",0,"1,777,000",0,"1,777,000"
00733,富邦臺灣中小,115.04.14,115.04.17,分配收益,0,"3,180,000",0,"3,603,000",0,"3,750,000",0,"3,692,000",0,"3,690,000"
00900,富邦特選高股息30,115.04.14,115.04.17,分配收益,"44,000","54,165,000","44,000","53,845,000","44,000","52,748,000","44,000","50,038,000","44,000","47,781,000"
00904,新光臺灣半導體30,115.04.13,115.04.16,分配收益,"3,000","1,589,000","3,000","1,533,000","2,000","1,497,000","4,000","1,460,000","1,000","1,460,000"
00905,FT臺灣Smart,115.04.14,115.04.17,分配收益,0,"1,372,000",0,"1,372,000",0,"1,372,000",0,"1,372,000",0,"1,332,000"
00907,永豐優息存股,115.04.17,115.04.22,分配收益,0,"249,000",0,"249,000",0,"249,000",0,"249,000",0,"249,000"
00908,富邦入息REITs+,115.04.14,115.04.17,分配收益,0,"932,000",0,"932,000",0,"932,000",0,"932,000",0,"932,000"
00909,國泰數位支付服務,115.04.14,115.04.17,分配收益,"31,000","5,191,000","994,000","5,471,000","995,000","5,436,000","31,000","4,276,000","42,000","3,387,000"
00912,中信臺灣智慧50,115.04.14,115.04.17,分配收益,0,"350,000",0,"334,000",0,"334,000",0,"196,000",0,"181,000"
00927,群益半導體收益,115.04.14,115.04.17,分配收益,0,"5,616,000","2,000","6,477,000","4,000","5,034,000","3,000","4,840,000","3,000","4,644,000"
00934,中信成長高股息,115.04.14,115.04.17,分配收益,0,"4,442,000",0,"4,442,000",0,"4,109,000",0,"3,933,000",0,"3,853,000"
00936,台新永續高息中小,115.04.13,115.04.16,分配收益,0,"1,275,000",0,"1,275,000",0,"1,275,000",0,"1,396,000",0,"1,396,000"
00940,元大台灣價值高息,115.04.01,115.04.08,分配收益,0,"39,492,000",0,"39,665,000",0,"37,426,000",0,"35,217,000",0,"36,901,000"
00943,兆豐電子高息等權,115.04.14,115.04.17,分配收益,0,"617,000",0,"617,000",0,"617,000",0,"617,000",0,"617,000"
00944,野村趨勢動能高息,115.04.14,115.04.17,分配收益,0,"483,000",0,"483,000",0,"483,000",0,"483,000",0,"483,000"
00945B,凱基美國非投等債,115.04.14,115.04.17,分配收益,0,"8,501,000",0,"8,501,000",0,"8,305,000",0,"8,305,000",0,"8,305,000"
00947,台新臺灣IC設計,115.04.13,115.04.16,分配收益,"7,000","928,000","6,000","928,000","8,000","928,000","19,000","928,000","19,000","928,000"
00952,凱基台灣AI50,115.04.14,115.04.17,分配收益,"9,000","557,000","5,000","557,000",0,"557,000",0,"477,000",0,"446,000"
00956,中信日經高股息,115.04.14,115.04.17,分配收益,0,"1,491,000",0,"1,491,000",0,"1,491,000",0,"1,491,000",0,"1,491,000"
00960,野村全球航運龍頭,115.04.14,115.04.17,分配收益,"10,000","1,001,000","10,000","1,001,000","10,000","1,001,000","10,000","1,001,000","10,000","1,046,000"
00961,FT臺灣永續高息,115.04.14,115.04.17,分配收益,0,"2,469,000",0,"2,768,000",0,"2,743,000",0,"2,582,000",0,"2,497,000"
00962,台新AI優息動能,115.04.13,115.04.16,分配收益,0,"134,000",0,"134,000",0,"134,000",0,"134,000",0,"131,000"
00963,中信全球高股息,115.04.14,115.04.17,分配收益,0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000"
00964,中信亞太高股息,115.04.14,115.04.17,分配收益,0,"1,360,000",0,"1,360,000",0,"1,360,000",0,"1,360,000",0,"1,360,000"
009804,聯邦台精彩50,115.04.14,115.04.17,分配收益,0,"646,000",0,"620,000",0,"596,000",0,"596,000",0,"596,000"
00981T,平衡凱基雙核收息,115.04.14,115.04.17,分配收益,0,"394,000",0,"394,000",0,"394,000",0,"394,000",0,"394,000"
00982D,主動富邦動態入息,115.04.14,115.04.17,分配收益,0,"942,000",0,"942,000",0,"842,000",0,"842,000",0,"642,000"
00983D,主動富邦複合收益,115.04.14,115.04.17,分配收益,0,"1,224,000",0,"1,224,000",0,"1,224,000",0,"1,224,000",0,"1,224,000"
00984A,主動安聯台灣高息,115.04.14,115.04.17,分配收益,0,"6,242,000",0,"5,722,000",0,"5,722,000",0,"5,575,000",0,"5,522,000"
